© 2000-2017 QIAGEN. All rights reserved.

Canonical Pathway	LCGV.4	LCGV.13	LCGV.22	LCM.4	LCM.13	LCM.22	
Mitotic Roles of Polo-Like Kinase	N/A	-3.5	-2.9848100289785457	N/A	-3.5777087639996634	-2.6832815729997477	
UVA-Induced MAPK Signaling	0.0	-2.710687382741972	-3.0	2.1213203435596424	-2.041241452319315	-2.7221786146864813	
Death Receptor Signaling	-2.6726124191242437	-2.743977362280141	-2.030258904551879	-0.8320502943378437	-2.197401062294143	-1.8516401995451028	
Cholecystokinin/Gastrin-mediated Signaling	1.2909944487358056	1.7320508075688772	1.5811388300841895	3.2071349029490928	2.2	1.7179113807746667	
LXR/RXR Activation	1.2909944487358056	-2.3533936216582085	-3.401680257083045	-0.3333333333333333	-1.6329931618554523	-2.556038601690775	
GNRH Signaling	1.9414506867883021	-1.889822365046136	-2.06418738616856	1.7320508075688774	-1.4	-1.8516401995451028	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-1.0	1.386750490563073	2.0	2.4494897427831783	2.138089935299395	1.6035674514745464	
Hypoxia Signaling in the Cardiovascular System	N/A	1.8973665961010275	2.32379000772445	2.0	2.3333333333333335	1.7320508075688774	
Cyclins and Cell Cycle Regulation	-1.0	-2.1320071635561044	-0.9622504486493763	-2.4494897427831783	-2.6	-0.9622504486493763	
HMGB1 Signaling	1.0	2.0	-0.40451991747794525	3.6380343755449944	2.4748737341529163	0.5547001962252291	
ATM Signaling	1.0	-1.2792042981336627	-2.3333333333333335	2.0	-1.2247448713915892	-2.1908902300206643	
TWEAK Signaling	-1.889822365046136	-1.8073922282301278	-1.4142135623730951	-1.6666666666666667	-1.697749375254331	-1.212678125181665	
Endothelin-1 Signaling	1.1547005383792517	-1.8516401995451028	-2.32379000772445	1.5	-0.6859943405700353	-1.9694638556693236	
Estrogen-mediated S-phase Entry	N/A	-2.3094010767585034	-1.386750490563073	-2.0	-2.6726124191242437	-1.0690449676496976	
Role of BRCA1 in DNA Damage Response	0.0	-1.876629726513673	-2.4140393963016744	0.4472135954999579	-1.876629726513673	-2.745625891934577	
IL-22 Signaling	N/A	-2.5298221281347035	-3.05085107923876	N/A	-1.1338934190276817	-2.4961508830135313	
Sphingosine-1-phosphate Signaling	1.889822365046136	1.5689290811054724	0.9733285267845753	1.414213562373095	1.9611613513818404	1.2060453783110545	
NF-κB Signaling	-1.6059101370939322	-1.1094003924504583	-2.3937749957251055	0.7276068751089989	-0.8320502943378437	-2.065591117977289	
Induction of Apoptosis by HIV1	-1.6666666666666667	-1.6329931618554523	-1.889822365046136	-0.5773502691896258	-1.2247448713915892	-1.1338934190276817	
TREM1 Signaling	-2.1213203435596424	0.8528028654224417	0.9622504486493763	1.6666666666666667	1.5275252316519468	0.9622504486493763	
IL-6 Signaling	-1.0	1.4055638569974547	0.7001400420140048	2.182820625326997	1.2977713690461004	1.386750490563073	
Antioxidant Action of Vitamin C	0.0	1.7320508075688772	2.0	-2.5298221281347035	0.0	1.6222142113076254	
TNFR2 Signaling	0.0	2.1105794120443453	1.7320508075688774	1.0	1.1547005383792517	1.7320508075688774	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	0.22941573387056174	0.8320502943378437	0.3611575592573076	3.299831645537222	1.7320508075688774	1.212678125181665	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	N/A	1.0	1.6329931618554523	2.23606797749979	1.6059101370939322	1.091089451179962	
NRF2-mediated Oxidative Stress Response	1.1547005383792517	0.7302967433402214	0.6030226891555273	2.4961508830135313	1.5118578920369088	0.9486832980505138	
Non-Small Cell Lung Cancer Signaling	N/A	-2.182820625326997	-1.7056057308448833	-0.8164965809277261	-1.6035674514745464	-1.0	
Dendritic Cell Maturation	-1.2909944487358056	1.12089707663561	-0.2672612419124244	2.6726124191242437	1.8083888603589302	-0.13245323570650439	
PI3K Signaling in B Lymphocytes	1.1547005383792517	0.7302967433402214	0.3086066999241838	2.4961508830135313	1.2247448713915892	1.12089707663561	
Glioma Signaling	0.4472135954999579	-1.876629726513673	-1.3333333333333333	-0.4472135954999579	-2.041241452319315	-0.8451542547285166	
PPAR Signaling	1.7320508075688774	-1.5118578920369088	-0.3333333333333333	-1.386750490563073	-1.0954451150103321	-0.8703882797784892	
p38 MAPK Signaling	-2.138089935299395	-1.3333333333333333	-0.9486832980505138	1.386750490563073	0.0	-1.0932163332202425	
Toll-like Receptor Signaling	-1.507556722888818	-0.47140452079103173	-1.3471506281091268	1.414213562373095	-0.8944271909999159	-1.2247448713915892	
Retinoic acid Mediated Apoptosis Signaling	-2.3333333333333335	-1.5	-0.8164965809277261	0.8164965809277261	-0.6882472016116852	-0.6255432421712244	
PCP pathway	1.414213562373095	0.0	-1.7888543819998317	1.889822365046136	0.7745966692414834	-0.8528028654224417	
BMP signaling pathway	1.0	-0.22941573387056174	-1.299867367239363	2.23606797749979	0.0	-1.7320508075688772	
Oncostatin M Signaling	-2.4494897427831783	-1.414213562373095	-1.0690449676496976	N/A	-0.3779644730092272	-1.0690449676496976	
AMPK Signaling	0.3333333333333333	-1.4055638569974547	-1.386750490563073	0.6324555320336759	-0.8703882797784892	-1.7320508075688774	
Glioblastoma Multiforme Signaling	2.5298221281347035	-0.7071067811865475	-1.2857142857142858	0.7745966692414834	-0.17407765595569785	-0.8320502943378437	
B Cell Receptor Signaling	1.7888543819998317	0.5773502691896258	-0.5	3.1304951684997055	0.14907119849998599	-0.12803687993289598	
Sumoylation Pathway	1.0	0.8980265101338746	-1.179535649239177	0.6324555320336759	1.7320508075688772	-0.7624928516630234	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0.6324555320336759	1.1766968108291043	0.3244428422615251	2.3333333333333335	1.2247448713915892	0.48038446141526137	
IL-1 Signaling	-0.6324555320336759	-0.42640143271122083	-1.414213562373095	2.3333333333333335	-0.42640143271122083	-0.8980265101338746	
Interferon Signaling	-2.4494897427831783	-1.386750490563073	0.0	N/A	-1.507556722888818	-0.7745966692414834	
Acute Phase Response Signaling	-1.7888543819998317	-0.4931969619160719	-0.9801960588196068	2.138089935299395	0.6488856845230502	0.0	
Type II Diabetes Mellitus Signaling	-0.7071067811865475	-0.9622504486493763	-1.4795908857482156	1.414213562373095	-0.6	-0.8006407690254357	
EGF Signaling	0.8164965809277261	-0.9428090415820635	-1.4	1.3416407864998738	-0.5345224838248488	-0.5773502691896257	
RANK Signaling in Osteoclasts	0.9045340337332909	-0.5773502691896257	-0.8006407690254357	2.3094010767585034	0.9622504486493763	0.0	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-1.0	-1.091089451179962	-0.7559289460184544	1.0	-0.7745966692414834	-0.8164965809277261	
ILK Signaling	1.0690449676496976	0.5897678246195885	0.0	2.3570226039551585	1.2060453783110545	0.12403473458920847	
Cell Cycle: G1/S Checkpoint Regulation	0.0	1.6059101370939322	-0.2	1.2649110640673518	1.876629726513673	0.3779644730092272	
LPS-stimulated MAPK Signaling	1.6666666666666667	0.20851441405707477	-1.0	1.8973665961010275	0.22941573387056174	-0.1690308509457033	
Colorectal Cancer Metastasis Signaling	0.4082482904638631	-0.6509445549041194	-1.9126494315742406	1.2247448713915892	0.13018891098082389	-0.7777777777777778	
B Cell Activating Factor Signaling	-1.3416407864998738	0.8320502943378437	-0.2581988897471611	1.0	1.2649110640673518	0.2773500981126146	
Glioma Invasiveness Signaling	1.414213562373095	0.22941573387056174	-0.2	1.6329931618554523	1.4142135623730951	0.0	
Acute Myeloid Leukemia Signaling	-0.3779644730092272	-1.0425720702853738	-1.671258043593467	0.3779644730092272	-0.6546536707079772	-0.5388159060803247	
Aldosterone Signaling in Epithelial Cells	2.23606797749979	-0.7276068751089989	-0.3779644730092272	1.1338934190276817	0.0	-0.18569533817705186	
Inflammasome pathway	N/A	1.0	0.30151134457776363	2.0	1.0	0.3333333333333333	
IL-8 Signaling	-0.4472135954999579	-0.14586499149789456	-1.0	1.7888543819998317	1.2344267996967353	0.0	
Lymphotoxin β Receptor Signaling	-1.6329931618554523	-0.9428090415820635	-0.42640143271122083	0.3779644730092272	0.5	0.6255432421712244	
PEDF Signaling	1.0	-0.42640143271122083	-1.6164477182409742	0.8164965809277261	0.0	-0.5222329678670935	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-2.23606797749979	-1.1547005383792517	-0.30151134457776363	N/A	-0.3779644730092272	0.30151134457776363	
Huntingtons Disease Signaling	2.1213203435596424	0.17407765595569785	0.3086066999241838	1.2649110640673518	0.19245008972987526	0.3086066999241838	
iNOS Signaling	-0.3779644730092272	0.24253562503633297	0.0	2.4494897427831783	0.7745966692414834	0.4472135954999579	
Inhibition of Angiogenesis by TSP1	N/A	-0.3779644730092272	-1.386750490563073	N/A	-1.1338934190276817	-1.386750490563073	
MIF Regulation of Innate Immunity	0.0	0.0	0.22941573387056174	1.889822365046136	1.8973665961010275	0.22941573387056174	
MIF-mediated Glucocorticoid Regulation	N/A	-0.5773502691896258	0.0	2.0	1.6329931618554523	0.0	
Coagulation System	-1.3416407864998738	0.3333333333333333	0.9045340337332909	N/A	0.3333333333333333	1.2649110640673518	
IL-17A Signaling in Airway Cells	0.0	-0.8944271909999159	-1.671258043593467	0.0	-0.47140452079103173	-1.0954451150103321	
Pancreatic Adenocarcinoma Signaling	-1.1547005383792517	0.1796053020267749	-1.372487132993442	0.0	0.7302967433402214	-0.6172133998483676	
HGF Signaling	1.2649110640673518	-0.5773502691896257	-0.8219949365267865	0.5773502691896258	0.20851441405707477	-0.4931969619160719	
VDR/RXR Activation	-0.8164965809277261	-0.30151134457776363	0.47140452079103173	1.0	0.5773502691896258	0.6882472016116852	
CD40 Signaling	-0.6324555320336759	-0.6	-1.3719886811400706	0.30151134457776363	0.0	-0.8703882797784892	
April Mediated Signaling	-1.1338934190276817	0.5	-0.6882472016116852	0.3779644730092272	0.8320502943378437	-0.24253562503633297	
PDGF Signaling	0.7071067811865475	0.47140452079103173	0.0	0.7071067811865475	1.4142135623730951	0.3333333333333333	
Granzyme B Signaling	N/A	-1.6666666666666667	-0.6324555320336759	N/A	-1.0	-0.3333333333333333	
Tumoricidal Function of Hepatic Natural Killer Cells	N/A	-1.6666666666666667	-0.6324555320336759	0.0	-1.0	-0.3333333333333333	
Neuregulin Signaling	-0.3779644730092272	-0.8944271909999159	-1.1338934190276817	0.3333333333333333	0.0	-0.7302967433402214	
4-1BB Signaling in T Lymphocytes	0.0	0.5773502691896258	-0.24253562503633297	1.3416407864998738	1.2649110640673518	0.0	
Androgen Signaling	N/A	-0.5345224838248488	-0.47140452079103173	1.6329931618554523	-0.2773500981126146	-0.5	
Tec Kinase Signaling	0.0	0.5222329678670935	0.13736056394868904	1.0690449676496976	1.5666989036012806	0.0	
CD27 Signaling in Lymphocytes	0.3333333333333333	0.22941573387056174	-0.6	1.1338934190276817	0.47140452079103173	-0.42640143271122083	
NGF Signaling	0.0	-0.3651483716701107	-0.9258200997725514	1.1338934190276817	0.3779644730092272	-0.3086066999241838	
PPARα/RXRα Activation	0.3333333333333333	-0.5773502691896257	-0.6324555320336759	0.2773500981126146	-0.5773502691896257	-0.6666666666666666	
p53 Signaling	-1.2649110640673518	-0.3922322702763681	-0.1690308509457033	0.5773502691896258	0.0	-0.4931969619160719	
IL-9 Signaling	-1.3416407864998738	0.2581988897471611	-0.47140452079103173	0.0	0.5	-0.22941573387056174	
Telomerase Signaling	N/A	-0.6546536707079772	-0.7559289460184544	-0.3779644730092272	-0.24253562503633297	-0.3779644730092272	
JAK/Stat Signaling	0.0	-0.19245008972987526	-0.8219949365267865	0.7071067811865475	0.2	-0.31622776601683794	
UVC-Induced MAPK Signaling	N/A	-0.3333333333333333	-0.9428090415820635	N/A	0.0	-0.9428090415820635	
TNFR1 Signaling	-0.3333333333333333	0.22941573387056174	0.20851441405707477	0.5773502691896258	-0.2182178902359924	0.42640143271122083	
Prolactin Signaling	0.3779644730092272	-0.47140452079103173	-0.18569533817705186	0.7071067811865475	0.0	0.0	
Role of CHK Proteins in Cell Cycle Checkpoint Control	N/A	-0.2773500981126146	-0.6882472016116852	N/A	0.0	-0.7276068751089989	
Notch Signaling	N/A	-0.6324555320336759	0.0	N/A	-1.0	0.0	
Apoptosis Signaling	0.0	-0.4082482904638631	0.0	0.0	-0.2182178902359924	0.7071067811865475	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	N/A	N/A	N/A	N/A	-1.0	N/A	
Aryl Hydrocarbon Receptor Signaling	N/A	0.0	0.3779644730092272	N/A	-0.3779644730092272	0.0	
Heme Degradation	0.0	N/A	N/A	N/A	N/A	N/A	
Airway Pathology in Chronic Obstructive Pulmonary Disease	N/A	N/A	N/A	N/A	N/A	N/A	
Atherosclerosis Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
NAD Salvage Pathway II	N/A	N/A	N/A	N/A	N/A	N/A	
Superpathway of Serine and Glycine Biosynthesis I	0.0	N/A	N/A	0.0	N/A	N/A	
Ovarian Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Branched-chain α-keto acid Dehydrogenase Complex	0.0	N/A	N/A	0.0	N/A	N/A	
Tetrapyrrole Biosynthesis II	0.0	N/A	N/A	0.0	N/A	N/A	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	N/A	N/A	N/A	N/A	N/A	N/A	
Role of IL-17A in Arthritis	N/A	N/A	N/A	N/A	N/A	N/A	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	
Telomere Extension by Telomerase	N/A	N/A	N/A	N/A	N/A	N/A	
Adipogenesis pathway	N/A	N/A	N/A	N/A	N/A	N/A	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	0.0	N/A	N/A	0.0	N/A	N/A	
Purine Nucleotides De Novo Biosynthesis II	N/A	N/A	N/A	N/A	N/A	N/A	
TCA Cycle II (Eukaryotic)	0.0	N/A	N/A	0.0	N/A	N/A	
Role of IL-17A in Psoriasis	N/A	N/A	N/A	N/A	N/A	N/A	
Superpathway of Methionine Degradation	N/A	N/A	N/A	N/A	N/A	N/A	
Fatty Acid α-oxidation	N/A	N/A	N/A	N/A	N/A	N/A	
Role of MAPK Signaling in the Pathogenesis of Influenza	N/A	N/A	N/A	N/A	N/A	N/A	
dTMP De Novo Biosynthesis	0.0	N/A	N/A	0.0	N/A	N/A	
Erythropoietin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
4-aminobutyrate Degradation I	0.0	N/A	N/A	0.0	N/A	N/A	
Heme Biosynthesis II	0.0	N/A	N/A	0.0	N/A	N/A	
Leucine Degradation I	0.0	N/A	N/A	0.0	N/A	N/A	
S-methyl-5-thio-α-D-ribose 1-phosphate Degradation	0.0	N/A	N/A	0.0	N/A	N/A	
Semaphorin Signaling in Neurons	N/A	N/A	N/A	N/A	N/A	N/A	
Endoplasmic Reticulum Stress Pathway	N/A	N/A	N/A	N/A	N/A	N/A	
Th1 and Th2 Activation Pathway	N/A	N/A	N/A	N/A	N/A	N/A	
Cleavage and Polyadenylation of Pre-mRNA	0.0	N/A	N/A	0.0	N/A	N/A	
Xenobiotic Metabolism Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Serine Biosynthesis	0.0	N/A	N/A	0.0	N/A	N/A	
2-oxobutanoate Degradation I	0.0	N/A	N/A	0.0	N/A	N/A	
IL-15 Production	N/A	N/A	N/A	N/A	N/A	N/A	
DNA Double-Strand Break Repair by Non-Homologous End Joining	0.0	N/A	N/A	0.0	N/A	N/A	
Glucocorticoid Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Lysine Degradation V	N/A	N/A	N/A	0.0	N/A	N/A	
Glycoaminoglycan-protein Linkage Region Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	
Nucleotide Excision Repair Pathway	0.0	N/A	N/A	N/A	N/A	N/A	
Hereditary Breast Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Role of JAK1 and JAK3 in γc Cytokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	
Pyrimidine Ribonucleotides Interconversion	N/A	N/A	N/A	N/A	N/A	N/A	
Regulation of the Epithelial-Mesenchymal Transition Pathway	N/A	N/A	N/A	N/A	N/A	N/A	
Mitochondrial Dysfunction	N/A	N/A	N/A	N/A	N/A	N/A	
