© 2000-2017 QIAGEN. All rights reserved.

Canonical Pathway	LCGV.4	LCGV.13	LCGV.22	
Death Receptor Signaling	-2.6726124191242437	-2.743977362280141	-2.030258904551879	
LXR/RXR Activation	1.2909944487358056	-2.3533936216582085	-3.401680257083045	
Mitotic Roles of Polo-Like Kinase	N/A	-3.5	-2.9848100289785457	
GNRH Signaling	1.9414506867883021	-1.889822365046136	-2.06418738616856	
UVA-Induced MAPK Signaling	0.0	-2.710687382741972	-3.0	
IL-22 Signaling	N/A	-2.5298221281347035	-3.05085107923876	
Induction of Apoptosis by HIV1	-1.6666666666666667	-1.6329931618554523	-1.889822365046136	
TWEAK Signaling	-1.889822365046136	-1.8073922282301278	-1.4142135623730951	
NF-κB Signaling	-1.6059101370939322	-1.1094003924504583	-2.3937749957251055	
Oncostatin M Signaling	-2.4494897427831783	-1.414213562373095	-1.0690449676496976	
Retinoic acid Mediated Apoptosis Signaling	-2.3333333333333335	-1.5	-0.8164965809277261	
ATM Signaling	1.0	-1.2792042981336627	-2.3333333333333335	
Cholecystokinin/Gastrin-mediated Signaling	1.2909944487358056	1.7320508075688772	1.5811388300841895	
p38 MAPK Signaling	-2.138089935299395	-1.3333333333333333	-0.9486832980505138	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-1.0	1.386750490563073	2.0	
Role of BRCA1 in DNA Damage Response	0.0	-1.876629726513673	-2.4140393963016744	
Hypoxia Signaling in the Cardiovascular System	N/A	1.8973665961010275	2.32379000772445	
Cyclins and Cell Cycle Regulation	-1.0	-2.1320071635561044	-0.9622504486493763	
TREM1 Signaling	-2.1213203435596424	0.8528028654224417	0.9622504486493763	
TNFR2 Signaling	0.0	2.1105794120443453	1.7320508075688774	
Interferon Signaling	-2.4494897427831783	-1.386750490563073	0.0	
Antioxidant Action of Vitamin C	0.0	1.7320508075688772	2.0	
Estrogen-mediated S-phase Entry	N/A	-2.3094010767585034	-1.386750490563073	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-2.23606797749979	-1.1547005383792517	-0.30151134457776363	
Glioma Signaling	0.4472135954999579	-1.876629726513673	-1.3333333333333333	
