© 2000-2017 QIAGEN. All rights reserved.

Canonical Pathway	LJGV.4	LJGV.13	LJGV.22	
NRF2-mediated Oxidative Stress Response	2.1105794120443453	3.3565855667130946	3.9617738670844207	
GNRH Signaling	2.886751345948129	-1.5	-2.3533936216582085	
Death Receptor Signaling	-1.414213562373095	-3.5447450389702713	-1.5275252316519468	
p38 MAPK Signaling	-2.0	-1.3471506281091268	-1.9639610121239315	
Interferon Signaling	-1.6329931618554523	-2.4494897427831783	-1.1338934190276817	
Role of BRCA1 in DNA Damage Response	N/A	-2.2936585546278225	-2.8284271247461903	
Toll-like Receptor Signaling	-1.6666666666666667	-1.507556722888818	-1.6666666666666667	
Huntingtons Disease Signaling	2.6457513110645903	1.3416407864998738	0.4082482904638631	
Nitric Oxide Signaling in the Cardiovascular System	1.1338934190276817	-1.6035674514745464	-1.5275252316519468	
ATM Signaling	0.0	-2.138089935299395	-2.0	
Induction of Apoptosis by HIV1	-0.8164965809277261	-2.3094010767585034	-1.0	
B Cell Receptor Signaling	2.32379000772445	1.0425720702853738	-0.7302967433402214	
TREM1 Signaling	-2.82842712474619	-1.2649110640673518	0.0	
Ceramide Signaling	-1.414213562373095	-0.7071067811865475	1.8073922282301278	
Antioxidant Action of Vitamin C	1.3416407864998738	1.1547005383792517	1.212678125181665	
TGF-β Signaling	1.2649110640673518	1.8073922282301278	0.6324555320336759	
fMLP Signaling in Neutrophils	1.6329931618554523	-1.2649110640673518	-0.6546536707079772	
Inflammasome pathway	-2.0	-1.0	-0.4472135954999579	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-1.507556722888818	-0.8320502943378437	-1.0425720702853738	
α-Adrenergic Signaling	2.0	-0.3333333333333333	0.8320502943378437	
iNOS Signaling	-0.8164965809277261	-1.8973665961010275	-0.3779644730092272	
Coagulation System	-1.0	0.3779644730092272	1.6666666666666667	
LXR/RXR Activation	1.8073922282301278	1.212678125181665	0.0	
Acute Phase Response Signaling	-1.885618083164127	0.0	-0.8944271909999159	
IL-6 Signaling	-1.0	1.0	-0.7276068751089989	
NF-κB Signaling	0.0	-1.2247448713915892	-1.4596008983995234	
Colorectal Cancer Metastasis Signaling	-0.22941573387056174	-0.5222329678670935	-1.8593393604027364	
Oncostatin M Signaling	-1.3416407864998738	-0.4472135954999579	-0.8164965809277261	
Fc Epsilon RI Signaling	1.2649110640673518	0.0	-1.2792042981336627	
HMGB1 Signaling	0.2581988897471611	1.697749375254331	0.4472135954999579	
Acute Myeloid Leukemia Signaling	0.0	1.889822365046136	-0.30151134457776363	
p53 Signaling	-0.9045340337332909	-0.7745966692414834	-0.5	
Cell Cycle: G1/S Checkpoint Regulation	0.0	1.0	-1.1547005383792517	
Cholecystokinin/Gastrin-mediated Signaling	0.7276068751089989	-0.2581988897471611	-1.1470786693528088	
PI3K Signaling in B Lymphocytes	0.3333333333333333	-0.47140452079103173	-1.2247448713915892	
