miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez Gene ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT003105	hsa-miR-122-5p	Homo sapiens	SLC7A1	6541	Homo sapiens	Luciferase reporter assay//Western blot//Reporter assay;Other	Functional MTI	17179747
MIRT003105	hsa-miR-122-5p	Homo sapiens	SLC7A1	6541	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003105	hsa-miR-122-5p	Homo sapiens	SLC7A1	6541	Homo sapiens	Luciferase reporter assay	Functional MTI	16777601
MIRT003112	hsa-miR-122-5p	Homo sapiens	ADAM17	6868	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003112	hsa-miR-122-5p	Homo sapiens	ADAM17	6868	Homo sapiens	Luciferase reporter assay//	Functional MTI	19935707
MIRT003111	hsa-miR-122-5p	Homo sapiens	NUMBL	9253	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003107	hsa-miR-122-5p	Homo sapiens	FOXJ3	22887	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003106	hsa-miR-122-5p	Homo sapiens	XPO6	23214	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003104	hsa-miR-122-5p	Homo sapiens	AP3M2	10947	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003103	hsa-miR-122-5p	Homo sapiens	G6PC3	92579	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003102	hsa-miR-122-5p	Homo sapiens	GALNT10	55568	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003727	hsa-miR-122-5p	Homo sapiens	DSTYK	25778	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003100	hsa-miR-122-5p	Homo sapiens	TPD52L2	7165	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003099	hsa-miR-122-5p	Homo sapiens	AKT3	10000	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003099	hsa-miR-122-5p	Homo sapiens	AKT3	10000	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	24244539
MIRT003098	hsa-miR-122-5p	Homo sapiens	FUNDC2	65991	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003097	hsa-miR-122-5p	Homo sapiens	MAPK11	5600	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003728	hsa-miR-122-5p	Homo sapiens	FAM117B	150864	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003095	hsa-miR-122-5p	Homo sapiens	ATP1A2	477	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003094	hsa-miR-122-5p	Homo sapiens	DUSP2	1844	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003093	hsa-miR-122-5p	Homo sapiens	AACS	65985	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003092	hsa-miR-122-5p	Homo sapiens	TBX19	9095	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003091	hsa-miR-122-5p	Homo sapiens	UBAP2	55833	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003110	hsa-miR-122-5p	Homo sapiens	EGLN3	112399	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003090	hsa-miR-122-5p	Homo sapiens	NCAM1	4684	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003089	hsa-miR-122-5p	Homo sapiens	MECP2	4204	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003088	hsa-miR-122-5p	Homo sapiens	FOXP1	27086	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003087	hsa-miR-122-5p	Homo sapiens	RAB11FIP1	80223	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003086	hsa-miR-122-5p	Homo sapiens	RAB6B	51560	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003109	hsa-miR-122-5p	Homo sapiens	TRIB1	10221	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003085	hsa-miR-122-5p	Homo sapiens	ALDOA	226	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003084	hsa-miR-122-5p	Homo sapiens	ANXA11	311	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003083	hsa-miR-122-5p	Homo sapiens	ENTPD4	9583	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003082	hsa-miR-122-5p	Homo sapiens	NFATC2IP	84901	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003081	hsa-miR-122-5p	Homo sapiens	ANK2	287	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003108	hsa-miR-122-5p	Homo sapiens	SLC7A11	23657	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470
MIRT003080	hsa-miR-122-5p	Homo sapiens	GYS1	2997	Homo sapiens	qRT-PCR//Western blot//Northern blot	Functional MTI	18073344
MIRT003731	hsa-miR-519b-3p	Homo sapiens	ELAVL1	1994	Homo sapiens	qRT-PCR//Western blot	Functional MTI	19088191
MIRT003732	hsa-miR-519c-3p	Homo sapiens	ELAVL1	1994	Homo sapiens	qRT-PCR//Western blot	Functional MTI	19088191
MIRT003733	hsa-miR-519a-3p	Homo sapiens	ELAVL1	1994	Homo sapiens	qRT-PCR//Western blot	Functional MTI	19088191
MIRT003333	hsa-miR-15a-5p	Homo sapiens	BRCA1	672	Homo sapiens	Luciferase reporter assay	Functional MTI	19144710
MIRT003328	hsa-miR-16-5p	Homo sapiens	BRCA1	672	Homo sapiens	Luciferase reporter assay	Functional MTI	19144710
MIRT003060	hsa-miR-143-3p	Homo sapiens	FNDC3B	64778	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19472311
MIRT003734	hsa-miR-128-3p	Homo sapiens	E2F3	1871	Homo sapiens	Luciferase reporter assay	Functional MTI	18810376
MIRT003734	hsa-miR-128-3p	Homo sapiens	E2F3	1871	Homo sapiens	Luciferase reporter assay	Functional MTI	19013014
MIRT003058	hsa-miR-144-3p	Homo sapiens	PLAG1	5324	Homo sapiens	Luciferase reporter assay	Functional MTI	19347935
MIRT003057	hsa-miR-375	Homo sapiens	PLAG1	5324	Homo sapiens	Luciferase reporter assay	Functional MTI	19347935
MIRT003735	hsa-miR-29a-3p	Homo sapiens	S100B	6285	Homo sapiens	Luciferase reporter assay//qRT-PCR//Northern blot	Functional MTI	19102781
MIRT003736	hsa-miR-29b-3p	Homo sapiens	S100B	6285	Homo sapiens	Luciferase reporter assay//qRT-PCR//Northern blot	Functional MTI	19102781
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//Westren blot//Reporter assay	Functional MTI	17968323
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Western blot	Functional MTI	19672202
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Western blot	Functional MTI	19509156
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//Western blot//Reporter assay	Functional MTI	18372920
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19682430
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	qRT-PCR//Western blot	Functional MTI	19906824
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//Western blot//Reporter assay;Other//Reporter assay	Functional MTI	18270520
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Western blot//Northern blot//Luciferase reporter assay	Functional MTI	19013014
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	18850008
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	20143188
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay	Functional MTI	19836969
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay	Functional MTI	19419954
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay	Functional MTI	19133651
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19264808
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay	Functional MTI	20056717
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	20831814
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	GFP reporter assay//Northern blot//qRT-PCR//Western blot//ASO assay	Functional MTI	19641183
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//qRT-PCR//Quantitative proteomic approach	Functional MTI	19253296
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19276261
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	18829576
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Immunoblot//Immunofluorescence//Luciferase reporter assay//qRT-PCR	Functional MTI	20533548
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	20978511
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay	Functional MTI	21469086
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20219857
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Reporter assay	Functional MTI	17991735
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Western blot	Functional MTI	22766763
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23548551
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	22212233
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	qRT-PCR//Western blot	Functional MTI	24659669
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Flow//qRT-PCR//Western blot	Functional MTI	26028073
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Immunofluorescence//Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	23811941
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Immunohistochemistry//Western blot	Functional MTI	24732841
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Immunofluorescence//Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	23827854
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	qRT-PCR//Western blot	Functional MTI	23824073
MIRT003054	hsa-miR-21-5p	Homo sapiens	PDCD4	27250	Homo sapiens	Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	23417858
