mir,GO,gene
miR-16-2,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,RARB
miR-16-2,GO:0001657~ureteric bud development,RARB
miR-16-2,GO:0002068~glandular epithelial cell development,RARB
miR-16-2,GO:0003148~outflow tract septum morphogenesis,RARB
miR-16-2,GO:0003406~retinal pigment epithelium development,RARB
miR-16-2,GO:0003417~growth plate cartilage development,RARB
miR-16-2,GO:0006351~transcription<COMMA> DNA-templated,RARB
miR-16-2,GO:0006355~regulation of transcription<COMMA> DNA-templated,RARB
miR-16-2,GO:0006367~transcription initiation from RNA polymerase II promoter,RARB
miR-16-2,GO:0007165~signal transduction,RARB
miR-16-2,GO:0008284~positive regulation of cell proliferation,RARB
miR-16-2,GO:0008285~negative regulation of cell proliferation,RARB
miR-16-2,GO:0021756~striatum development,RARB
miR-16-2,GO:0031641~regulation of myelination,RARB
miR-16-2,GO:0032331~negative regulation of chondrocyte differentiation,RARB
miR-16-2,GO:0035116~embryonic hindlimb morphogenesis,RARB
miR-16-2,GO:0035264~multicellular organism growth,RARB
miR-16-2,GO:0043065~positive regulation of apoptotic process,RARB
miR-16-2,GO:0043066~negative regulation of apoptotic process,RARB
miR-16-2,GO:0043401~steroid hormone mediated signaling pathway,RARB
miR-16-2,GO:0045666~positive regulation of neuron differentiation,RARB
miR-16-2,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,RARB
miR-16-2,GO:0048048~embryonic eye morphogenesis,RARB
miR-16-2,GO:0048384~retinoic acid receptor signaling pathway,RARB
miR-16-2,GO:0048566~embryonic digestive tract development,RARB
miR-16-2,GO:0055012~ventricular cardiac muscle cell differentiation<COMMA>,RARB
miR-10b,GO:0001701~in utero embryonic development,BCL2L11
miR-10b,GO:0001782~B cell homeostasis,BCL2L11
miR-10b,GO:0001783~B cell apoptotic process,BCL2L11
miR-10b,GO:0001822~kidney development,BCL2L11
miR-10b,GO:0001844~protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,BCL2L11
miR-10b,GO:0002262~myeloid cell homeostasis,BCL2L11
miR-10b,GO:0006915~apoptotic process,BCL2L11
miR-10b,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,BCL2L11
miR-10b,GO:0007127~meiosis I,BCL2L11
miR-10b,GO:0007160~cell-matrix adhesion,BCL2L11
miR-10b,GO:0007283~spermatogenesis,BCL2L11
miR-10b,GO:0007420~brain development,BCL2L11
miR-10b,GO:0008584~male gonad development,BCL2L11
miR-10b,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,BCL2L11
miR-10b,GO:0030879~mammary gland development,BCL2L11
miR-10b,GO:0032464~positive regulation of protein homooligomerization,BCL2L11
miR-10b,GO:0034976~response to endoplasmic reticulum stress,BCL2L11
miR-10b,GO:0035148~tube formation,BCL2L11
miR-10b,GO:0042475~odontogenesis of dentin-containing tooth,BCL2L11
miR-10b,GO:0043029~T cell homeostasis,BCL2L11
miR-10b,GO:0043065~positive regulation of apoptotic process,BCL2L11
miR-10b,GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,BCL2L11
miR-10b,GO:0043525~positive regulation of neuron apoptotic process,BCL2L11
miR-10b,GO:0043583~ear development,BCL2L11
miR-10b,GO:0045787~positive regulation of cell cycle,BCL2L11
miR-10b,GO:0046620~regulation of organ growth,BCL2L11
miR-10b,GO:0048066~developmental pigmentation,BCL2L11
miR-10b,GO:0048070~regulation of developmental pigmentation,BCL2L11
miR-10b,GO:0048536~spleen development,BCL2L11
miR-10b,GO:0048538~thymus development,BCL2L11
miR-10b,GO:0048563~post-embryonic organ morphogenesis,BCL2L11
miR-10b,GO:0060139~positive regulation of apoptotic process by virus,BCL2L11
miR-10b,GO:0060154~cellular process regulating host cell cycle in response to virus,BCL2L11
miR-10b,GO:0070242~thymocyte apoptotic process,BCL2L11
miR-10b,GO:0090200~positive regulation of release of cytochrome c from mitochondria,BCL2L11
miR-10b,GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand,BCL2L11
miR-10b,GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,BCL2L11
miR-10b,GO:1902237~positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,BCL2L11
miR-10b,GO:1902263~apoptotic process involved in embryonic digit morphogenesis,BCL2L11
miR-10b,GO:1903896~positive regulation of IRE1-mediated unfolded protein response,BCL2L11
miR-10b,GO:2000271~positive regulation of fibroblast apoptotic process,BCL2L11
miR-10b,GO:2001244~positive regulation of intrinsic apoptotic signaling pathway<COMMA>,BCL2L11
miR-10b,GO:0006468~protein phosphorylation,BUB1
miR-10b,GO:0006915~apoptotic process,BUB1
miR-10b,GO:0007062~sister chromatid cohesion,BUB1
miR-10b,GO:0007063~regulation of sister chromatid cohesion,BUB1
