GO	gene
GO:0008284~positive regulation of cell proliferation	AKR1C2, ETS1, KRAS, SHMT2
GO:0007165~signal transduction	ESR1, NF1, PLAU, YWHAZ
GO:0001666~response to hypoxia	ETS1, NF1, PLAU, SMAD3
GO:0000122~negative regulation of transcription from RNA polymerase II promoter	CCND1, ESR1, SMAD3
GO:0006351~transcription<COMMA> DNA-templated	CCND1, ESR1, SMAD3
GO:0032355~response to estradiol	CCND1, ESR1, ETS1
GO:0006355~regulation of transcription<COMMA> DNA-templated	ESR1, MAX, SMAD3
GO:0006366~transcription from RNA polymerase II promoter	ESR1, ETS1, MAX
GO:0042981~regulation of apoptotic process	ESR1, ETS1, MCL1
GO:0045893~positive regulation of transcription<COMMA> DNA-templated	ESR1, ETS1, SMAD3
GO:0045944~positive regulation of transcription from RNA polymerase II promoter	ESR1, ETS1, SMAD3
GO:0001889~liver development	KRAS, NF1, SMAD3
GO:0043066~negative regulation of apoptotic process	MCL1, SMAD3, YWHAZ
