miRNA	RF_Group	targets	sanityCheck	PMID
miR-193b	Both	AKR1C2,CCND1,ESR1,ETS1,KRAS,MAX,MCL1,NF1,PLAU,PRAP1,SHMT2,SMAD3,YWHAZ	hsa-miR-193b-3p	19684618,19701247,20103677,20304954,20655737,21512034,21779487,23335975,23372348,24374827,24496888,25034398
miR-203b	Both	NA	NA	NA
miR-324	Both	CREBBP,DVL2,GLI1,SMO,WNT2B,WNT9B	hsa-miR-324-3p,hsa-miR-324-5p	18756266,19478946,20216554,23583221
miR-130a	Nugent-RF	Acvr1,APP,ATG2B,ATXN1,CSF1,DICER1,ESR1,GJA1,HOXA10,HOXA5,IFITM1,IL18,KLF4,MAFB,MEOX2,PPARA,PPARG,RUNX3,SMAD4,TAC1,TGFB1,TNF,XIAP	hsa-miR-130a-3p	14697198,16549775,17855557,17957028,18758459,18823650,19110058,20981674,21135128,21712254,22350415,22787204,22846564,23393589,23874686,24145606,24801815,24819345,24885472,24960162,25002578
miR-224	Nugent-RF	AP2M1,API5,BCL2,CDC42,CXCR4,DIO1,DPYSL2,EDNRA,EYA4,FOSB,HOXD10,KLK10,KRAS,MBD2,NCOA6,NIT1,PAK2,PEBP1,PHLPP1,PTX3,SERPINF2,SMAD4,TCEAL1,TPD52,TRIB1	hsa-miR-224-5p	18319255,20023705,20065103,20118412,20354523,20827281,21912701,22809510,22989374,23399735,23667495,23770133,23846336,23922662,24219032,24382668,24470395,24768995,24785373,25017365
miR-182	Both	ADCY6,ATF1,BARD1,BCL2,BDNF,CADM1,CCND2,CDKN1A,CDKN1B,CHEK2,CHL1,CLOCK,CREB1,CREB5,CYLD,FBXW7,FGF9,FLOT1,FOXF2,FOXO1,FOXO3,GSK3B,LRRC4,Mitf,MITF,MTSS1,NDRG1,NTM,PDCD4,PFN1,PTEN,RAD17,RARG,RECK,SATB2,SMAD4,SMARCD3,SNAI2,TCEAL7,THBS1,TP53BP1,TP53INP1,TSC22D3,ULBP2,ZFAND4	hsa-miR-182-5p	17597072,19167416,19188590,19574223,19782699,20190813,20656788,22322863,22325466,22681717,22848417,22917588,23006329,23226455,23249749,23262295,23296900,23333633,23354685,23383207,23430586,23474751,23704927,23874837,23877371,23956116,24021963,24053448,24335145,24404152,24445397,24447717,24867318,24884732,24886554,24971532,25269767,25682742
miR-149	Nugent-RF	AKT1,BBC3,E2F1,FGFR1,FOXM1,GIT1,GPC1,IL6,MYBL2,MYD88,PTGER2,SP1,ZBTB2	hsa-miR-149-3p,hsa-miR-149-5p	20623644,22819824,22821729,23144691,23762558,23873935,24375488,24463821,24608434,25916550
miR-3607	Both	NA	NA	NA
miR-375	Nugent-RF	NA	NA	NA
miR-15a	Nugent-RF	AKT3,APP,BACE1,BCL2,BMI1,BRCA1,CADM1,CARM1,Ccnd1,CCND1,CCND2,CCNE1,CDC25A,CHUK,CLCN3,CRKL,DMTF1,FGF7,FOXO1,HMGA1,HMGA2,HSPA1B,IFNG,KLF4,MN1,MYB,PHLPP1,PURA,RECK,REPIN1,RET,SOX5,TMEM184B,TP53,TSPYL2,UCP2,VEGFA,WNT3A,YAP1	hsa-miR-15a-5p	15131085,16166262,17707831,18320040,18362358,18434550,18818396,18931683,18949056,19110058,19117988,19144710,19478946,19549910,19591824,19903841,20621999,20711193,20876285,21106054,21146880,21205891,21205967,21880628,22139073,22379033,22835829,23022987,23104180,23176145,23233752,23867820,23900351,24285725,24337069,24481955,24530761,24862853,25305446,25743273
