"comparison","reference","ExposureTime","mean_diff","pval","sig","Figure"
"L. crispatus","G. vaginalis","0.5hr",0.178731999999997,0.245022418434846,NA,"FIGURE_2_5"
"L. crispatus","Cell Culture Medium","0.5hr",1.1185685,0.00142172369723865,"*","FIGURE_2_5"
"L. jensenii","G. vaginalis","0.5hr",1.12887433333333,0.00228275701206422,"*","FIGURE_2_5"
"L. jensenii","Cell Culture Medium","0.5hr",2.06871083333333,0.00020973169326099,"*","FIGURE_2_5"
"L. iners","G. vaginalis","0.5hr",0.0120593333333332,0.904120520767659,NA,"FIGURE_2_5"
"L. iners","Cell Culture Medium","0.5hr",0.951895833333335,0.00156784161983778,"*","FIGURE_2_5"
"L. crispatus","G. vaginalis","1hr",-0.781815999999999,0.00108225728161834,"*","FIGURE_2_5"
"L. crispatus","Cell Culture Medium","1hr",-1.05293666666667,0.000335035657595195,"*","FIGURE_2_5"
"L. jensenii","G. vaginalis","1hr",0.386264999999998,0.0391044747838558,"*","FIGURE_2_5"
"L. jensenii","Cell Culture Medium","1hr",0.11514433333333,0.397945897612788,NA,"FIGURE_2_5"
"L. iners","G. vaginalis","1hr",-0.776163666666665,0.00160186906046865,"*","FIGURE_2_5"
"L. iners","Cell Culture Medium","1hr",-1.04728433333333,0.000511676997026379,"*","FIGURE_2_5"
"L. crispatus","G. vaginalis","4hr",-0.946286499999999,0.0310029883701706,"*","FIGURE_2_5"
"L. crispatus","Cell Culture Medium","4hr",-1.7403015,0.00453063902474201,"*","FIGURE_2_5"
"L. jensenii","G. vaginalis","4hr",-2.22559966666666,0.00351916510794508,"*","FIGURE_2_5"
"L. jensenii","Cell Culture Medium","4hr",-2.35889666666666,0.00629631795481985,"*","FIGURE_2_5"
"L. iners","G. vaginalis","4hr",-0.637242166666663,0.0532150263484152,NA,"FIGURE_2_5"
"L. iners","Cell Culture Medium","4hr",-1.43125716666666,0.00211352735655162,"*","FIGURE_2_5"
"1% lactic acid, pH 7.66","G. vaginalis","4hr",-0.0327126666666686,0.905280424081062,NA,"FIGURE_2_5"
"1% lactic acid, pH 7.66","Cell Culture Medium","4hr",-0.0222103333333337,0.93653048277373,NA,"FIGURE_2_5"
"0.1% D-lactic acid","G. vaginalis","4hr",-1.530791,0.00190855748748982,"*","FIGURE_2_5"
"0.1% D-lactic acid","Cell Culture Medium","4hr",-1.52028866666667,0.00256971155322788,"*","FIGURE_2_5"
"0.1% D-lactic acid","0.1% L-lactic acid","4hr",-0.184439666666666,0.122716339716201,NA,"FIGURE_2_5"
