"","aligne","non_aligned","aligned.percent"
"VK2_GVAGINALIS_BCS_13HR_rep1",3483930,4807299,42.0194641831748
"VK2_LCRISPATUS_BCS_13HR_rep2",3024389,4728391,39.0103807924383
"VK2_LJENSENII_BCS_13HR_rep2",2974822,5081054,36.9273558828363
"VK2_LINERS_BCS_13HR_rep2",1729117,2818605,38.0216073014138
"VK2_GVAGINALIS_BCS_13HR_rep2",3155228,4981628,38.7769919978921
"VK2_MEDIA_BCS_13HR_rep1",2030629,4103040,33.106269673176
"VK2_LCRISPATUS_BCS_22HR_rep1",1416161,4094299,25.6995060303496
"VK2_LJENSENII_BCS_22HR_rep1",2950478,4526599,39.4603131678328
"VK2_LINERS_BCS_22HR_rep1",1532055,2771328,35.6011770274689
"VK2_LJENSENII_BCS_4HR_rep2",3206459,4141484,43.6375050813541
"VK2_LINERS_BCS_4HR_rep2",3115872,4791188,39.4062015464661
"VK2_GVAGINALIS_BCS_4HR_rep2",1880874,3108170,37.7000884337761
"VK2_MEDIA_BCS_4HR_rep2",3207936,5177732,38.2549845760648
"VK2_LCRISPATUS_BCS_4HR_rep1",5558855,9308697,37.3891747612519
"VK2_LJENSENII_BCS_4HR_rep1",1533479,5357997,22.2518223962472
"VK2_LINERS_BCS_4HR_rep1",2645213,5212024,33.6659438935086
"VK2_GVAGINALIS_BCS_4HR_rep1",3555610,5306173,40.1229639678606
"VK2_MEDIA_BCS_4HR_rep1",3745190,5746921,39.4558175731405
"VK2_LCRISPATUS_BCS_13HR_rep1",3386120,4396176,43.5105526698034
"VK2_LJENSENII_BCS_13HR_rep1",1921098,4377784,30.4990314154163
"VK2_LINERS_BCS_13HR_rep1",863055,3460048,19.9637852718291
"VK2_MEDIA_BCS_22HR_rep1",4670961,6683713,41.1369009801602
"VK2_LCRISPATUS_BCS_4HR_rep2",1648935,4676829,26.0669699343826
"VK2_MEDIA_BCS_13HR_rep2",4892080,6273558,43.8137077343901
"VK2_LCRISPATUS_BCS_22HR_rep2",4392899,7238422,37.7678425348247
"VK2_LJENSENII_BCS_22HR_rep2",2049302,5339076,27.736832089533
"VK2_LINERS_BCS_22HR_rep2",1021441,3487378,22.6542915118127
"VK2_GVAGINALIS_BCS_22HR_rep2",1354926,3638674,27.1332505607177
"VK2_GVAGINALIS_BCS_4HR_rep3",5603541,7216261,43.7100432596385
"VK2_MEDIA_BCS_4HR_rep3",5132964,5729447,47.2543710599792
"VK2_LCRISPATUS_BCS_13HR_rep3",161415,2668178,5.70453065158134
"VK2_LJENSENII_BCS_13HR_rep3",3802258,6401683,37.2626419537314
"VK2_LINERS_BCS_13HR_rep3",6838588,8112610,45.7393982743055
"VK2_GVAGINALIS_BCS_13HR_rep3",10538780,11950957,46.860396811221
"VK2_MEDIA_BCS_13HR_rep3",4873897,8360741,36.826825184036
"VK2_LCRISPATUS_BCS_22HR_rep3",8448815,12995303,39.3992189373328
"VK2_LJENSENII_BCS_22HR_rep3",8633553,11437330,43.0153122809794
"VK2_LINERS_BCS_22HR_rep3",5445716,7141781,43.2628980964206
"VK2_GVAGINALIS_BCS_22HR_rep3",5545096,7796699,41.561843814869
"VK2_MEDIA_BCS_22HR_rep3",7577938,6554699,53.620127652044
