,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,MeanDecreaseGini,MeanDecreaseGini.pval
Parvimonas_micra,12.4223144966369,0.00199600798403194,5.66194858630582,0.00199600798403194
Megasphaera_sp._type_1,9.8317876394599,0.00199600798403194,3.91757933922746,0.00199600798403194
BVAB2,9.6247925823231,0.00199600798403194,4.60345409513776,0.00199600798403194
Eggerthella,8.36721118709589,0.00199600798403194,3.0505913563167,0.00199600798403194
Dialister_sp._type_2,8.02032234497257,0.00199600798403194,3.45975347128995,0.00199600798403194
Leptotrichia_amnionii,7.70934474883017,0.00199600798403194,2.65484085521462,0.00199600798403194
BVAB3,7.46129315337727,0.00199600798403194,1.73308337084636,0.00199600798403194
BVAB1,6.00000359443377,0.00399201596806387,1.65292693633965,0.00199600798403194
PH,5.76965197460561,0.00199600798403194,1.11790005717676,0.0479041916167665
Prevotella_genogroup_3,5.60913699628956,0.00199600798403194,1.26429526065766,0.00998003992015968
Prevotella_genogroup_1,5.54726002549638,0.00399201596806387,1.35582712489848,0.00998003992015968
Mobiluncus_mulieris,5.46727765082027,0.00199600798403194,0.934898091300211,0.0219560878243513
Porphyromonas_sp._type_1,5.41890509006843,0.00199600798403194,1.2028290030945,0.00598802395209581
Gardnerella_vaginalis,5.33284077608555,0.0139720558882236,1.54793342244704,0.227544910179641
Prevotella_genogroup_2,5.01758857195942,0.00598802395209581,1.72058686661502,0.00598802395209581
Peptoniphilus_lacrimalis,4.97437886697158,0.00399201596806387,1.55474906876146,0.00399201596806387
Atopobium_vaginae,4.90516840434444,0.0119760479041916,2.35796871425369,0.00399201596806387
MENSTRUATION_NORMALIZED_PHASED,4.89184320781138,0.00199600798403194,0.395772479344684,0.650698602794411
Prevotella_genogroup_4,4.78152792390727,0.00199600798403194,0.7498208705186,0.0538922155688623
Candidate_Division_TM7_vaginal,4.76899978233448,0.0139720558882236,1.21928162836937,0.0199600798403194
Lactobacillus_crispatus,3.98399581203985,0.0279441117764471,1.15017216888637,0.954091816367265
Prevotella_genogroup_5,3.94002725889222,0.0159680638722555,0.584054874911191,0.161676646706587
Porphyromonas_uenonis,3.92908120181912,0.00998003992015968,0.590894162926031,0.101796407185629
Gemella,3.74232300746007,0.0219560878243513,1.48311834668012,0.0119760479041916
Anaerococcus_vaginalis,3.67407913588286,0.0499001996007984,0.888382899158042,0.401197604790419
Lactobacillus_helveticus,3.60213839233255,0.0179640718562874,0.714300987254306,1
Prevotella_melaninogenica,3.52106991644103,0.0279441117764471,0.415964379480934,0.241516966067864
Lactobacillus_vaginalis,3.19990260934922,0.0379241516966068,0.291469088994931,1
Porphyromonas_endodontalis,3.01014870645093,0.0179640718562874,0.303556215518424,0.177644710578842
Sutterella_stercoricanis,2.79739463499243,0.029940119760479,0.471522297174715,0.125748502994012
Eubacterium_rectale,2.76856761925991,0.0578842315369262,0.213943377239788,0.932135728542914
Lactobacillus_jensenii,2.64478721174727,0.0678642714570858,0.480878624546779,1
Actinomyces_meyeri,2.55323776220266,0.0798403193612774,0.334327099019381,0.650698602794411
Staphylococcus_epidermidis,2.53159318062408,0.12375249500998,0.322425568782838,1
Actinomyces_neuii,2.44386324433264,0.0698602794411178,0.577397331362836,0.429141716566866
Peptoniphilus_asaccharolyticus,2.43123051901763,0.177644710578842,0.385363066414352,0.996007984031936
Prevotella_disiens,2.39023030447793,0.129740518962076,0.604433649988723,0.425149700598802
Mobiluncus_curtisii,2.34850670261506,0.12375249500998,0.505995280688864,0.357285429141717
Corynebacterium_accolens,2.29477100723394,0.181636726546906,0.59381306949274,1
Varibaculum_cambriense,2.28848466236675,0.143712574850299,0.261320498687704,1
Megasphaera_sp._type_2,2.11359506179268,0.141716566866267,0.495820729503251,0.291417165668663
Clostridium_colicanis,2.07568222380903,0.0738522954091816,0.111661030169528,1
Streptococcus_anginosus,2.05206839248173,0.17564870259481,0.360537447935316,1
