,EM12_W5D2,EM12_W5D3,EM12_W5D4,EM12_W5D5,EM12_W5D6,UAB003_W5D6,UAB003_W6D1,UAB003_W6D2,UAB003_W6D3,UAB003_W6D4,UAB003_W6D5,UAB003_W6D6,UAB003_W6D7,UAB003_W7D1,UAB003_W7D2,UAB003_W7D3,UAB003_W7D5,UAB003_W7D6,UAB003_W7D7,UAB003_W8D1,UAB003_W8D2,UAB005_W4D7,UAB005_W5D1,UAB005_W5D2,UAB005_W5D3,UAB005_W5D4,UAB005_W5D5,UAB006_W3D1,UAB006_W3D3,UAB006_W3D4,UAB006_W3D5,UAB006_W3D6,UAB006_W3D7,UAB006_W4D2,UAB006_W4D3,UAB006_W4D4,UAB006_W4D5,UAB006_W4D6,UAB006_W4D7,UAB006_W5D1,UAB007_W3D7,UAB007_W4D1,UAB007_W4D2,UAB007_W4D3,UAB007_W4D4,UAB008_W10D1,UAB008_W10D2,UAB008_W9D5,UAB008_W9D6,UAB008_W9D7,UAB015_W4D3,UAB015_W4D4,UAB015_W4D5,UAB015_W4D7,UAB015_W5D1,UAB015_W5D2,UAB015_W5D3,UAB015_W5D4,UAB015_W5D5,UAB015_W5D7,UAB015_W6D1,UAB015_W6D2,UAB015_W6D3,UAB015_W6D4,UAB021_W1D4,UAB021_W1D5,UAB021_W1D7,UAB021_W2D2,UAB022_W7D5,UAB022_W7D6,UAB022_W7D7,UAB022_W8D1,UAB022_W8D2,UAB055_W2D1,UAB055_W2D2,UAB055_W2D3,UAB055_W2D4,UAB055_W2D5,UAB055_W2D6,UAB093_W6D5,UAB093_W6D6,UAB093_W6D7,UAB102_W4D6,UAB102_W5D1,UAB102_W5D2,UAB115_W3D7,UAB115_W4D3,UAB115_W4D4,UAB115_W4D5,UAB115_W4D6,UAB115_W5D2,UAB115_W5D3,UAB115_W5D5,UAB115_W5D7,UAB116_W2D5,UAB116_W2D6,UAB116_W3D1,UAB116_W3D2,UAB116_W3D3,UAB117_W7D1,UAB117_W7D2,UAB117_W7D3,UAB117_W7D4,UAB121_W3D3,UAB121_W3D4,UAB121_W3D5,UAB121_W3D6,UAB121_W3D7,UAB121_W4D2,UAB121_W4D3,UAB121_W4D4,UAB121_W4D5,UAB121_W4D6
hsa-let-7a-2,47145,44407,49514,58893,30540,22726,19450,25207,7820,5444,11942,16437,19853,17464,24599,28485,13093,5711,34856,31495,19890,45054,59627,36972,602,46695,44392,8450,29965,6740,13839,32636,6905,18771,26820,16364,9552,36,8513,8351,39431,32563,14930,11514,23042,2241,6827,2463,21260,25562,33517,20694,4280,29580,27230,10080,10402,8913,5012,12068,10877,9741,22410,19234,6960,4023,3650,2788,17813,3438,39477,5404,17082,17700,17627,9429,5488,4403,1652,83440,40282,5495,2340,2646,20564,10719,33132,42209,108099,4038,39043,46090,2881,46903,2249,2591,3055,3396,1296,6938,35354,25241,34261,8788,10,4495,26814,4880,9,18159,10,169316,53632
hsa-let-7a-3,47470,44389,49448,59508,30371,22718,19529,25438,7772,5563,11860,16414,19970,17652,25042,28885,13034,5934,35404,31493,20033,45293,60036,37540,618,47042,45284,8683,29943,6806,14087,32596,7079,19444,26988,16595,9569,37,8516,8381,40314,33039,15062,11416,23141,2288,6957,2529,21555,26095,34253,21083,4369,29938,28143,10127,10622,8862,4894,12357,10932,9937,22453,19343,7272,4206,3624,2905,18135,3531,39710,5378,17565,18209,17457,9554,5531,4350,1621,82942,40637,5623,2487,2713,20961,10930,33058,42771,109158,4293,39318,46565,2974,47104,2128,2640,3145,3445,1302,6928,35600,25467,34535,8938,9,4555,26769,4953,15,18299,10,170566,53783
hsa-let-7b,231600,211404,178337,289672,92035,98396,116316,143848,29713,87140,62254,110175,109653,115205,116039,178697,61940,28101,135025,51327,98180,210455,256428,158179,1868,226741,143780,39210,105806,30790,86534,126744,31254,136619,121336,110491,54112,229,46699,33206,165900,96492,52365,48275,70988,7186,45920,11804,125372,168520,116849,69505,12071,101508,131225,47511,43321,37640,29931,53824,41843,34842,54085,63748,46582,33535,29776,17191,64246,20351,106032,24788,88309,99871,66462,39395,27886,19889,6993,186618,75818,36499,19034,27855,73725,42777,121474,187360,206092,19210,131716,153613,10935,130684,17384,19184,24991,39101,11430,42887,110871,192990,251690,39022,25,17485,137396,14980,23,73636,10,293766,196718
hsa-let-7c,92874,91104,98638,171109,49801,37538,51809,56002,18010,29443,34139,38497,44139,46358,46575,68334,25498,11551,58186,22484,37560,72312,85332,57803,657,69253,42205,13850,47819,9419,26154,48733,11786,46475,48660,32428,18134,61,12550,10273,32980,30936,10627,12737,18617,2766,14110,5179,41337,49478,44508,29221,5279,44248,48773,18011,15284,21682,10439,22481,14733,13274,31738,25142,9320,6614,6473,4186,24320,11309,57577,14667,29217,35146,35534,14223,14652,10288,3736,95096,45393,11519,6052,12083,31525,15781,65306,61803,88592,7644,80081,57261,4205,76156,13765,8803,8923,20316,5938,14135,44021,68296,87816,18080,5,8175,61239,7154,9,32752,10,167151,94967
hsa-let-7d,2334,4912,2159,5365,2445,2449,2004,3012,670,908,1236,1370,2264,2062,2575,2686,1253,516,3197,1239,2142,10312,6789,3718,98,6960,5818,1519,2599,651,1700,3005,924,1574,1735,2022,849,1,1620,1144,6906,4361,2486,2224,3182,271,630,262,2800,3027,5437,2152,455,3489,5270,1097,1169,860,541,1061,1514,1348,2242,2165,1365,883,603,338,3188,792,3667,842,3451,2241,1861,1199,670,615,206,6107,2612,925,305,413,1239,2002,4496,2629,5253,1120,2858,2595,725,3530,280,390,579,460,180,797,1884,2796,4308,1820,0,1222,2941,930,1,4713,0,9258,4882
hsa-let-7e,752,833,896,828,528,638,473,441,134,323,240,279,254,312,318,434,188,84,471,259,391,1080,816,512,10,722,893,280,749,155,397,423,82,181,254,235,111,2,137,175,802,753,576,524,806,88,192,81,931,1043,802,463,127,713,442,177,178,157,89,185,472,192,563,352,152,87,61,36,839,161,802,140,854,442,505,216,165,138,48,757,317,111,54,64,196,313,828,647,1014,123,653,752,64,790,70,40,351,109,33,152,424,513,1167,114,0,60,384,72,0,309,0,1590,761
hsa-let-7f-1,27682,25029,32402,32831,23871,19758,17347,30815,9546,1675,11763,11690,15082,10364,27767,19222,13486,5294,36272,21039,16728,26691,34370,30302,545,37534,42560,8776,33988,6588,10459,23202,3720,11582,19864,10092,6246,22,4643,5013,33708,33481,17348,7822,30969,1885,3615,1540,8376,12808,21650,17948,3870,26486,18553,8392,9187,7848,2462,8579,6183,10052,19818,14648,4794,3377,1406,1659,11485,1746,30239,4766,13260,11345,11982,4729,2746,1951,747,58920,25817,3905,1329,1907,10521,8047,25656,17386,50074,5015,28416,26059,4151,44663,1930,1362,2244,3388,1049,3570,15397,15005,26741,7743,2,5041,19652,4089,1,11487,3,106364,32711
hsa-let-7f-2,28304,25939,32996,35007,24987,21890,18101,33898,10182,1750,12358,13010,16494,11042,30741,20824,13897,5468,38165,21033,18766,30026,37346,33517,603,40266,47207,9894,37059,7162,11716,25151,4253,13082,22105,11015,7069,18,5003,5210,37248,37577,19690,8507,32786,2121,3886,1687,9058,14193,24506,19925,4336,29753,21199,9063,10304,8089,2622,9409,6844,10873,21340,16224,5146,3757,1679,1804,12572,1858,31397,4928,14543,12444,12305,5407,2808,2156,847,61445,26217,4182,1518,2163,10753,8510,26784,19097,51013,5477,29715,27787,4302,45515,1970,1573,2468,3460,1192,3688,15697,15874,28101,8479,2,5777,20867,4693,2,12854,3,109337,34837
hsa-let-7g,8251,13651,11186,15542,16872,8267,10196,15253,5284,626,6922,5063,7664,4267,15881,9517,7299,3057,19946,27926,8539,16058,20696,15583,350,22134,24394,4341,13410,2717,5578,10685,3320,9512,12767,7607,4612,12,3340,3188,28398,17796,11313,3213,13940,1308,1616,1077,4446,7522,18095,10740,1923,14362,18871,4640,4987,5324,1266,6410,2437,4990,12990,8609,3590,3184,1116,1068,7749,1296,13836,3439,10597,7333,8206,3053,1797,1602,582,42509,17491,1980,1161,1414,12616,6273,18082,9772,83804,4023,18059,14880,2890,24130,1617,1474,1455,3004,1026,1162,13668,4288,12145,5266,5,3012,8535,1986,12,6689,4,116623,14523
hsa-let-7i,24197,21707,19974,25826,18238,18660,38797,34193,12409,2657,17738,19212,22833,13089,27071,24142,13745,5964,29828,12762,16383,33610,38815,41577,657,56518,46966,11869,23154,6952,12796,17592,5457,16562,19660,13356,9463,26,6028,4659,36671,22204,18304,6847,29844,1165,3806,1180,7048,13579,25485,12353,2622,18431,29210,5787,8730,6640,2437,9428,3458,6841,11724,10856,5711,5527,2597,2002,11540,2896,10308,6339,18751,16292,14204,5062,3742,2816,918,35189,9308,5420,3225,5782,9634,15201,51053,41499,59814,6502,43934,27118,3327,55681,4278,3073,6011,8586,2581,2506,9346,16447,33201,8651,3,4702,17300,3234,4,15167,1,61891,12946
hsa-mir-1-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,14,13,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
