,LJM.4,LJM.13,LJM.22,LIM.4,LIM.13,LIM.22,LCM.4,LCM.13,LCM.22,GVM.4,GVM.13,GVM.22
4-1BB Signaling in T Lymphocytes,0,1.63299316185545,0.707106781186547,2,0,1,1.34164078649987,1.26491106406735,0,2,0,0
Activation of IRF by Cytosolic Pattern Recognition Receptors,0,0,0,0.333333333333333,0.447213595499958,-0.816496580927726,1,-0.774596669241483,-0.816496580927726,1.50755672288882,-1,0
Acute Myeloid Leukemia Signaling,1,1.38675049056307,1,0,0,0,0.377964473009227,-0.654653670707977,-0.538815906080325,0,0,0
Acute Phase Response Signaling,0,0,0,2.98481002897855,3.35658556671309,2.49615088301353,2.1380899352994,0.64888568452305,0,2.9824045403173,3.46410161513775,1.88982236504614
Aldosterone Signaling in Epithelial Cells,1.88982236504614,-0.632455532033676,-0.5,0,0,0,1.13389341902768,0,-0.185695338177052,0,0,0
AMPK Signaling,0,0,0,0,0,0,0.632455532033676,-0.870388279778489,-1.73205080756888,0,0,0
Androgen Signaling,1.63299316185545,-1.73205080756888,-0.904534033733291,0,0,0,1.63299316185545,-0.277350098112615,-0.5,0,0,0
Angiopoietin Signaling,-0.447213595499958,1.38675049056307,1.26491106406735,0,0.447213595499958,0,0,0,0,0.377964473009227,0,0
Antioxidant Action of Vitamin C,-1.63299316185545,-0.774596669241483,0.5,-1.89736659610103,-1.13389341902768,-2.64575131106459,-2.5298221281347,0,1.62221421130763,-2.33333333333333,0,0
Apoptosis Signaling,0,0,0,-0.301511344577764,0.377964473009227,0.707106781186547,0,-0.218217890235992,0.707106781186547,-0.377964473009227,0.447213595499958,0
April Mediated Signaling,0,0,0,1,0,0.377964473009227,0.377964473009227,0.832050294337844,-0.242535625036333,0.816496580927726,0,0
Aryl Hydrocarbon Receptor Signaling,0,1.13389341902768,0.333333333333333,0,0,0,0,-0.377964473009227,0,0,0,0
ATM Signaling,1.34164078649987,-0.577350269189626,-3,0,0,0.447213595499958,2,-1.22474487139159,-2.19089023002066,0,0,0
B Cell Activating Factor Signaling,0,0,0,1.88982236504614,0,1.34164078649987,1,1.26491106406735,0.277350098112615,2,0,0
B Cell Receptor Signaling,0,0,0,3.70970413401187,1.41421356237309,0.301511344577764,3.13049516849971,0.149071198499986,-0.128036879932896,2.82842712474619,0,0
Basal Cell Carcinoma Signaling,1,0,-0.377964473009227,0,0,0,0,0,0,0,0,0
BMP signaling pathway,1.34164078649987,0.534522483824849,-0.5,0,0,0,2.23606797749979,0,-1.73205080756888,0,0,0
Calcium-induced T Lymphocyte Apoptosis,0,0,0,2,0,0,0,0,0,0,0,0
CD27 Signaling in Lymphocytes,1.13389341902768,0.333333333333333,0.774596669241483,1.66666666666667,0,0,1.13389341902768,0.471404520791032,-0.426401432711221,0,0,0
CD40 Signaling,0.301511344577764,0,0.471404520791032,0.577350269189626,-0.447213595499958,0.333333333333333,0.301511344577764,0,-0.870388279778489,0.377964473009227,0,0
Cell Cycle Regulation by BTG Family Proteins,1,0.816496580927726,0,0,0,0,0,0,0,0,0,0
Cell Cycle: G1/S Checkpoint Regulation,1.89736659610103,0.774596669241483,-1.38675049056307,0,0,0,1.26491106406735,1.87662972651367,0.377964473009227,0,0,0
Cell Cycle: G2/M DNA Damage Checkpoint Regulation,0,0,0,0,0,0,2.23606797749979,1.60591013709393,1.09108945117996,0,0,0
Ceramide Signaling,0,0,0,1.88982236504614,2.82842712474619,1.63299316185545,0,0,0,0,0,0
Cholecystokinin/Gastrin-mediated Signaling,0,0,0,3.20713490294909,0.377964473009227,0,3.20713490294909,2.2,1.71791138077467,1.88982236504614,1,0
Coagulation System,0,0,0,0.447213595499958,1.63299316185545,0,0,0.333333333333333,1.26491106406735,1.34164078649987,0,0
Colorectal Cancer Metastasis Signaling,1.21267812518166,0.142857142857143,0.64888568452305,2.06474160483506,0.832050294337844,1.69774937525433,1.22474487139159,0.130188910980824,-0.777777777777778,3,2.33333333333333,1.63299316185545
Complement System,0,0,0,0,0,1,0,0,0,0,0,1
Cyclins and Cell Cycle Regulation,0,0,0,0,0,0,-2.44948974278318,-2.6,-0.962250448649376,0,0,0
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells,0,0,0,-1,0,0,0,0,0,0,0,0
Death Receptor Signaling,-0.632455532033676,-3,-1.04257207028537,-0.534522483824849,1.26491106406735,-0.707106781186547,-0.832050294337844,-2.19740106229414,-1.8516401995451,0.904534033733291,-0.447213595499958,0
Dendritic Cell Maturation,0,0,0,3.63803437554499,1.88561808316413,2.5,2.67261241912424,1.80838886035893,-0.132453235706504,4.47213595499958,2.71360210119987,1.13389341902768
EGF Signaling,0,0,0,0,0,0,1.34164078649987,-0.534522483824849,-0.577350269189626,0,0,0
Endothelin-1 Signaling,0,0,0,-0.301511344577764,-1,0,1.5,-0.685994340570035,-1.96946385566932,0,0,0
ErbB2-ErbB3 Signaling,-0.377964473009227,0.707106781186547,0.333333333333333,0,0,0,0,0,0,0,0,0
ERK/MAPK Signaling,0,0,0,0,0,0,0,0,0,2.12132034355964,0,0
ERK5 Signaling,0,0,0,2.23606797749979,0,0,0,0,0,0,0,0
Estrogen-Dependent Breast Cancer Signaling,1.13389341902768,0.534522483824849,0,0,0,0,0,0,0,0,0,0
Estrogen-mediated S-phase Entry,-2.23606797749979,-1.26491106406735,0.816496580927726,0,0,1,-2,-2.67261241912424,-1.0690449676497,0,0,0
Fc Epsilon RI Signaling,0,0,0,0,0,0,0,0,0,0,0,0
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes,0,0,0,0.707106781186547,1.13389341902768,0,0,0,0,0.447213595499958,0,0
fMLP Signaling in Neutrophils,0,0,0,0,0,0,0,0,0,0.816496580927726,0,0
Glioblastoma Multiforme Signaling,0,0,0,0,0,0,0.774596669241483,-0.174077655955698,-0.832050294337844,0,0,0
Glioma Invasiveness Signaling,0,0,0,1.88982236504614,0,0,1.63299316185545,1.4142135623731,0,0,0,0
Glioma Signaling,0,0,0,0,0,0,-0.447213595499958,-2.04124145231932,-0.845154254728517,0,0,0
GNRH Signaling,1.89736659610103,-1.34164078649987,-0.962250448649376,0,0,0,1.73205080756888,-1.4,-1.8516401995451,0,0,0
Granzyme B Signaling,0,0,0,0,0,0,0,-1,-0.333333333333333,0,0,0
Gαq Signaling,0,0,0,0,0,0,0,0,0,1.34164078649987,0,0
HGF Signaling,1.50755672288882,0.577350269189626,1.80739222823013,0,0,0,0.577350269189626,0.208514414057075,-0.493196961916072,0,0,0
