"comparison","reference","ExposureTime","mean_diff","pval","sig","Figure"
"L. crispatus","Cell Culture Medium","0.5hr",1.1185685,0.00142172369723865,"*","FIGURE_3"
"L. jensenii","Cell Culture Medium","0.5hr",2.06871083333333,0.00020973169326099,"*","FIGURE_3"
"L. iners","Cell Culture Medium","0.5hr",0.951895833333335,0.00156784161983778,"*","FIGURE_3"
"G. vaginalis","Cell Culture Medium","0.5hr",0.939836500000002,0.00137472215747811,"*","FIGURE_3"
"L. crispatus","Cell Culture Medium","1hr",-1.05293666666667,0.000335035657595195,"*","FIGURE_3"
"L. jensenii","Cell Culture Medium","1hr",0.11514433333333,0.397945897612788,NA,"FIGURE_3"
"L. iners","Cell Culture Medium","1hr",-1.04728433333333,0.000511676997026379,"*","FIGURE_3"
"G. vaginalis","Cell Culture Medium","1hr",-0.271120666666668,0.0452355735844515,"*","FIGURE_3"
"0.1% DL-lactic acid","Cell Culture Medium","1hr",-0.837097333333336,0.00612669559831255,"*","FIGURE_3"
"L. crispatus","Cell Culture Medium","4hr",-1.7403015,0.00453063902474201,"*","FIGURE_3"
"L. jensenii","Cell Culture Medium","4hr",-2.35889666666666,0.00629631795481985,"*","FIGURE_3"
"L. iners","Cell Culture Medium","4hr",-1.43125716666666,0.00211352735655162,"*","FIGURE_3"
"G. vaginalis","Cell Culture Medium","4hr",-0.794015000000002,0.029361917799028,"*","FIGURE_3"
"1% lactic acid, pH 7.66","G. vaginalis","4hr",-0.0327126666666686,0.905280424081062,NA,"FIGURE_3"
"1% lactic acid, pH 7.66","Cell Culture Medium","4hr",-0.0222103333333337,0.93653048277373,NA,"FIGURE_3"
"0.1% D-lactic acid","G. vaginalis","4hr",-1.530791,0.00190855748748982,"*","FIGURE_3"
"0.1% D-lactic acid","Cell Culture Medium","4hr",-1.52028866666667,0.00256971155322788,"*","FIGURE_3"
"0.1% D-lactic acid","0.1% L-lactic acid","4hr",-0.184439666666666,0.122716339716201,NA,"FIGURE_3"
"0.1% L-lactic acid","G. vaginalis","4hr",-1.34635133333333,0.00627162030533897,"*","FIGURE_3"
"0.1% L-lactic acid","Cell Culture Medium","4hr",-1.335849,0.00765990458235504,"*","FIGURE_3"
"0.1% DL-lactic acid","Cell Culture Medium","4hr",-1.45340666666667,0.000106144854991686,"*","FIGURE_3"
"0.06% D-lactic acid","G. vaginalis","4hr",-0.079507333333332,0.655096050228173,NA,"FIGURE_3"
"0.06% D-lactic acid","Cell Culture Medium","4hr",-0.223330666666666,0.178680764355361,NA,"FIGURE_3"
"0.06% L-lactic acid","G. vaginalis","4hr",-0.122743,0.528962086069683,NA,"FIGURE_3"
"0.06% L-lactic acid","Cell Culture Medium","4hr",-0.266566333333333,0.169632493527194,NA,"FIGURE_3"
"0.06% L-lactic acid","0.06% D-lactic acid","4hr",-0.0432356666666678,0.816123784990321,NA,"FIGURE_3"
"L. crispatus","Cell Culture Medium","8hr",-2.33097266666666,0.000247860832081537,"*","FIGURE_3"
"L. jensenii","Cell Culture Medium","8hr",-2.63146433333333,0.000558095768196614,"*","FIGURE_3"
