Study,Well,Sample Name,Row,Col,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
011217,1,A1,A,1,miR-193b,1,011217_LINERS_0.5hr,VK2,0.5hr,LINERS,sybr,SYBR,Unknown,23.582493,76.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,49,C1,C,1,miR-193b,1,011217_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,22.757648,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,97,E1,E,1,miR-193b,1,011217_LCRISP_1hr,VK2,1hr,LCRISP,sybr,SYBR,Unknown,21.865206,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,145,G1,G,1,miR-193b,1,011217_LINERS_1hr,VK2,1hr,LINERS,sybr,SYBR,Unknown,22.293877,77.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,193,I1,I,1,miR-193b,1,011217_GVAG_1hr,VK2,1hr,GVAG,sybr,SYBR,Unknown,22.864065,77.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,241,K1,K,1,miR-193b,1,011217_MEDIA_1hr,VK2,1hr,MEDIA,sybr,SYBR,Unknown,23.32659,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,2,A2,A,2,miR-193b,2,011217_LINERS_0.5hr,VK2,0.5hr,LINERS,sybr,SYBR,Unknown,23.44697,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,50,C2,C,2,miR-193b,2,011217_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,22.62491,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,98,E2,E,2,miR-193b,2,011217_LCRISP_1hr,VK2,1hr,LCRISP,sybr,SYBR,Unknown,22.060219,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,146,G2,G,2,miR-193b,2,011217_LINERS_1hr,VK2,1hr,LINERS,sybr,SYBR,Unknown,22.422632,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,194,I2,I,2,miR-193b,2,011217_GVAG_1hr,VK2,1hr,GVAG,sybr,SYBR,Unknown,22.952082,77.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,242,K2,K,2,miR-193b,2,011217_MEDIA_1hr,VK2,1hr,MEDIA,sybr,SYBR,Unknown,23.38096,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
