Sample,Well,Sample Name,Study,BCM,ExposureTime,PrimerPair,Replicate,CellLine,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct MEDIAian,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
22017_rerun_0_06_D_4hr,193,022017_06_D_4hr_mir193b,22017_rerun,0_06_D,4hr,miR-193b,1,VK2,sybr,SYBR,Unknown,21.278252,,,,,,21.278252,21.228968,0.09980108,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_D_4hr,194,022017_06_D_4hr_mir193b,22017_rerun,0_06_D,4hr,miR-193b,2,VK2,sybr,SYBR,Unknown,21.294538,,,,,,21.278252,21.228968,0.09980108,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_D_4hr,195,022017_06_D_4hr_mir193b,22017_rerun,0_06_D,4hr,miR-193b,3,VK2,sybr,SYBR,Unknown,21.11411,,,,,,21.278252,21.228968,0.09980108,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_06_DL_1hr,49,011717_06_DL_1hr_mir193b,11717_rerun,0_06_DL,1hr,miR-193b,1,VK2,sybr,SYBR,Unknown,21.915897,,,,,,21.915897,21.978872,0.12589014,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
11717_rerun_0_06_DL_1hr,50,011717_06_DL_1hr_mir193b,11717_rerun,0_06_DL,1hr,miR-193b,2,VK2,sybr,SYBR,Unknown,21.896896,,,,,,21.915897,21.978872,0.12589014,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
11717_rerun_0_06_DL_1hr,51,011717_06_DL_1hr_mir193b,11717_rerun,0_06_DL,1hr,miR-193b,3,VK2,sybr,SYBR,Unknown,22.123823,,,,,,21.915897,21.978872,0.12589014,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_DL_4hr,289,022017_06_DL_4hr_mir193b,22017_rerun,0_06_DL,4hr,miR-193b,1,VK2,sybr,SYBR,Unknown,21.015173,,,,,,21.265087,21.2077,0.17120574,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_DL_4hr,290,022017_06_DL_4hr_mir193b,22017_rerun,0_06_DL,4hr,miR-193b,2,VK2,sybr,SYBR,Unknown,21.265087,,,,,,21.265087,21.2077,0.17120574,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_DL_4hr,291,022017_06_DL_4hr_mir193b,22017_rerun,0_06_DL,4hr,miR-193b,3,VK2,sybr,SYBR,Unknown,21.34284,,,,,,21.265087,21.2077,0.17120574,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_06_L_1hr,145,011717_06_L_1hr_mir193b,11717_rerun,0_06_L,1hr,miR-193b,1,VK2,sybr,SYBR,Unknown,22.597439,,,,,,22.597439,22.561691,0.1024586,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_06_L_1hr,146,011717_06_L_1hr_mir193b,11717_rerun,0_06_L,1hr,miR-193b,2,VK2,sybr,SYBR,Unknown,22.641487,,,,,,22.597439,22.561691,0.1024586,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_06_L_1hr,147,011717_06_L_1hr_mir193b,11717_rerun,0_06_L,1hr,miR-193b,3,VK2,sybr,SYBR,Unknown,22.446148,,,,,,22.597439,22.561691,0.1024586,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_L_4hr,241,022017_06_L_4hr_mir193b,22017_rerun,0_06_L,4hr,miR-193b,1,VK2,sybr,SYBR,Unknown,21.544424,,,,,,21.544424,21.55163,0.049478836,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_L_4hr,242,022017_06_L_4hr_mir193b,22017_rerun,0_06_L,4hr,miR-193b,2,VK2,sybr,SYBR,Unknown,21.50615,,,,,,21.544424,21.55163,0.049478836,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
