SDS 2.4	AQ Results	1.0
Filename	011717_022017_LacticAcid_1_4hr
PlateID	
Assay Type	Absolute Quantification
Run DateTime	3/29/17 2:11:46 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
49	011717_06_DL_1h_mir193b	sybr	SYBR	Unknown	21.915897						21.915897	21.978872	0.12589014	Manual Ct		Automatic			Manual	0.2					true		true						
50	011717_06_DL_1h_mir193b	sybr	SYBR	Unknown	21.896896						21.915897	21.978872	0.12589014	Manual Ct		Automatic			Manual	0.2					true		true						
51	011717_06_DL_1h_mir193b	sybr	SYBR	Unknown	22.123823						21.915897	21.978872	0.12589014	Manual Ct		Automatic			Manual	0.2					true								
70	011717_06_DL_1h_RNU6	sybr	SYBR	Unknown	20.320807						20.320807	20.332182	0.03587618	Manual Ct		Automatic			Manual	0.2													
71	011717_06_DL_1h_RNU6	sybr	SYBR	Unknown	20.372366						20.320807	20.332182	0.03587618	Manual Ct		Automatic			Manual	0.2													
72	011717_06_DL_1h_RNU6	sybr	SYBR	Unknown	20.303371						20.320807	20.332182	0.03587618	Manual Ct		Automatic			Manual	0.2													
145	011717_06_L_1h_mir193b	sybr	SYBR	Unknown	22.597439						22.597439	22.561691	0.1024586	Manual Ct		Automatic			Manual	0.2					true								
146	011717_06_L_1h_mir193b	sybr	SYBR	Unknown	22.641487						22.597439	22.561691	0.1024586	Manual Ct		Automatic			Manual	0.2					true								
147	011717_06_L_1h_mir193b	sybr	SYBR	Unknown	22.446148						22.597439	22.561691	0.1024586	Manual Ct		Automatic			Manual	0.2					true								
166	011717_06_L_1h_RNU6	sybr	SYBR	Unknown	21.599873						21.599873	21.585526	0.079301566	Manual Ct		Automatic			Manual	0.2													
167	011717_06_L_1h_RNU6	sybr	SYBR	Unknown	21.656677						21.599873	21.585526	0.079301566	Manual Ct		Automatic			Manual	0.2													
168	011717_06_L_1h_RNU6	sybr	SYBR	Unknown	21.500032						21.599873	21.585526	0.079301566	Manual Ct		Automatic			Manual	0.2													
1	011717_08_DL_1h_mir193b	sybr	SYBR	Unknown	22.988117						23.134832	23.150589	0.17089772	Manual Ct		Automatic			Manual	0.2					true								
2	011717_08_DL_1h_mir193b	sybr	SYBR	Unknown	23.134832						23.134832	23.150589	0.17089772	Manual Ct		Automatic			Manual	0.2					true								
3	011717_08_DL_1h_mir193b	sybr	SYBR	Unknown	23.328821						23.134832	23.150589	0.17089772	Manual Ct		Automatic			Manual	0.2					true								
22	011717_08_DL_1h_RNU6	sybr	SYBR	Unknown	21.80054						21.666567	21.705332	0.082923405	Manual Ct		Automatic			Manual	0.2													
23	011717_08_DL_1h_RNU6	sybr	SYBR	Unknown	21.648895						21.666567	21.705332	0.082923405	Manual Ct		Automatic			Manual	0.2													
24	011717_08_DL_1h_RNU6	sybr	SYBR	Unknown	21.666567						21.666567	21.705332	0.082923405	Manual Ct		Automatic			Manual	0.2													
