Study,Well,Sample Name,Detector Name,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Row,Col,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
011717,1,A1,sybr,miR-193b,1,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,1,SYBR,Unknown,23.39119,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,49,C1,sybr,miR-193b,1,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,1,SYBR,Unknown,22.815855,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,97,E1,sybr,miR-193b,1,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,1,SYBR,Unknown,22.840618,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,145,G1,sybr,miR-193b,1,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,1,SYBR,Unknown,23.340374,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,193,I1,sybr,miR-193b,1,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,1,SYBR,Unknown,23.76421,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,241,K1,sybr,miR-193b,1,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,1,SYBR,Unknown,22.711157,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,289,M1,sybr,miR-193b,1,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,1,SYBR,Unknown,23.859957,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,337,O1,sybr,miR-193b,1,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,1,SYBR,Unknown,23.509977,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,2,A2,sybr,miR-193b,2,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,2,SYBR,Unknown,23.6694,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,50,C2,sybr,miR-193b,2,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,2,SYBR,Unknown,22.978786,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,98,E2,sybr,miR-193b,2,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,2,SYBR,Unknown,23.11299,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,146,G2,sybr,miR-193b,2,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,2,SYBR,Unknown,23.394373,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,194,I2,sybr,miR-193b,2,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,2,SYBR,Unknown,23.777237,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
