Study,Well,Sample Name,Row,Col,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
022017,1,A1,A,1,miR-193b,1,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,20.712158,76.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,49,C1,C,1,miR-193b,1,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,20.439716,76.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,97,E1,E,1,miR-193b,1,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,20.722528,76.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,145,G1,G,1,miR-193b,1,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,20.5247,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,193,I1,I,1,miR-193b,1,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,20.968353,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,241,K1,K,1,miR-193b,1,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,20.853224,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,289,M1,M,1,miR-193b,1,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,20.521696,76.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,337,O1,O,1,miR-193b,1,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,22.736704,76.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,2,A2,A,2,miR-193b,2,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,20.445726,76.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,50,C2,C,2,miR-193b,2,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,20.414164,62.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,98,E2,E,2,miR-193b,2,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,20.825588,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,146,G2,G,2,miR-193b,2,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,20.804523,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,194,I2,I,2,miR-193b,2,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,20.948008,63.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
