Sample,Well,Sample Name,Study,BCM,ExposureTime,PrimerPair,Replicate,CellLine,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
022017_rerunMarch_0_06_D_4hr,1,022017_0_06_D_LA_4HR_MIR193B,22017_rerunMarch,0_06_D,4hr,miR-193b,1,VK2,sybr,SYBR,Unknown,20.656853,,,,,,20.770466,20.747879,0.08209725,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
022017_rerunMarch_0_06_D_4hr,2,022017_0_06_D_LA_4HR_MIR193B,22017_rerunMarch,0_06_D,4hr,miR-193b,2,VK2,sybr,SYBR,Unknown,20.816319,,,,,,20.770466,20.747879,0.08209725,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
022017_rerunMarch_0_06_D_4hr,3,022017_0_06_D_LA_4HR_MIR193B,22017_rerunMarch,0_06_D,4hr,miR-193b,3,VK2,sybr,SYBR,Unknown,20.770466,,,,,,20.770466,20.747879,0.08209725,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
022017_rerunMarch_0_06_DL_4hr,97,022017_0_06_DL_LA_4HR_MIR193B,22017_rerunMarch,0_06_DL,4hr,miR-193b,1,VK2,sybr,SYBR,Unknown,20.807337,,,,,,20.935654,20.917147,0.10182566,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
022017_rerunMarch_0_06_DL_4hr,98,022017_0_06_DL_LA_4HR_MIR193B,22017_rerunMarch,0_06_DL,4hr,miR-193b,2,VK2,sybr,SYBR,Unknown,21.00845,,,,,,20.935654,20.917147,0.10182566,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
022017_rerunMarch_0_06_DL_4hr,99,022017_0_06_DL_LA_4HR_MIR193B,22017_rerunMarch,0_06_DL,4hr,miR-193b,3,VK2,sybr,SYBR,Unknown,20.935654,,,,,,20.935654,20.917147,0.10182566,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
022017_rerunMarch_0_06_L_4hr,49,022017_0_06_L_LA_4HR_MIR193B,22017_rerunMarch,0_06_L,4hr,miR-193b,1,VK2,sybr,SYBR,Unknown,21.348349,,,,,,21.33428,21.252655,0.15372342,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
022017_rerunMarch_0_06_L_4hr,50,022017_0_06_L_LA_4HR_MIR193B,22017_rerunMarch,0_06_L,4hr,miR-193b,2,VK2,sybr,SYBR,Unknown,21.075336,,,,,,21.33428,21.252655,0.15372342,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
022017_rerunMarch_0_06_L_4hr,51,022017_0_06_L_LA_4HR_MIR193B,22017_rerunMarch,0_06_L,4hr,miR-193b,3,VK2,sybr,SYBR,Unknown,21.33428,,,,,,21.33428,21.252655,0.15372342,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
011717_rerunMarch_GVAG_1hr,241,011717_GVAG_1HR_MIR193B,11717_rerunMarch,GVAG,1hr,miR-193b,1,VK2,sybr,SYBR,Unknown,22.063284,,,,,,22.063284,22.062922,0.0735137,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
