Study,Well,Sample Name,Detector Name,Reporter,Task,Ct,Row,Col,PrimerPair,Replicate,CellLine,BCM,ExposureTime,Sample
OTHER,1,A1,sybr,SYBR,Unknown,21.411139,A,1,miR-193b,1,VK2,LCRISP,0.5hr,OTHER_LCRISP_0.5hr
OTHER,10,A10,sybr,SYBR,Unknown,20.61053,A,10,miR-193b,2,VK2,LCRISP,13hr,OTHER_LCRISP_13hr
OTHER,11,A11,sybr,SYBR,Unknown,22.137856,A,11,miR-193b,1,VK2,LCRISP,22hr,OTHER_LCRISP_22hr
OTHER,12,A12,sybr,SYBR,Unknown,22.43534,A,12,miR-193b,2,VK2,LCRISP,22hr,OTHER_LCRISP_22hr
OTHER,13,A13,sybr,SYBR,Unknown,19.344297,A,13,RNU6,1,VK2,LCRISP,0.5hr,OTHER_LCRISP_0.5hr
OTHER,14,A14,sybr,SYBR,Unknown,19.698095,A,14,RNU6,2,VK2,LCRISP,0.5hr,OTHER_LCRISP_0.5hr
OTHER,15,A15,sybr,SYBR,Unknown,17.978756,A,15,RNU6,1,VK2,LCRISP,1hr,OTHER_LCRISP_1hr
OTHER,16,A16,sybr,SYBR,Unknown,18.864115,A,16,RNU6,2,VK2,LCRISP,1hr,OTHER_LCRISP_1hr
OTHER,17,A17,sybr,SYBR,Unknown,20.445692,A,17,RNU6,1,VK2,LCRISP,4hr,OTHER_LCRISP_4hr
OTHER,18,A18,sybr,SYBR,Unknown,20.32919,A,18,RNU6,2,VK2,LCRISP,4hr,OTHER_LCRISP_4hr
OTHER,19,A19,sybr,SYBR,Unknown,18.94976,A,19,RNU6,1,VK2,LCRISP,11hr,OTHER_LCRISP_11hr
OTHER,2,A2,sybr,SYBR,Unknown,21.361704,A,2,miR-193b,2,VK2,LCRISP,0.5hr,OTHER_LCRISP_0.5hr
OTHER,20,A20,sybr,SYBR,Unknown,19.304596,A,20,RNU6,2,VK2,LCRISP,11hr,OTHER_LCRISP_11hr
OTHER,21,A21,sybr,SYBR,Unknown,17.466724,A,21,RNU6,1,VK2,LCRISP,13hr,OTHER_LCRISP_13hr
OTHER,22,A22,sybr,SYBR,Unknown,18.2215,A,22,RNU6,2,VK2,LCRISP,13hr,OTHER_LCRISP_13hr
