Well,Sample Name,Detector Name,Reporter,Row,Col,PrimerPair,Sample,Replicate,Study,BCM,ExposureTime,CellLine,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
258,K18,sybr,SYBR,K,18,miR-193b,022017_run_0424_GVAG_4hr,1,022017_run_0424,GVAG,4hr,VK2,Unknown,23.160847,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
259,K19,sybr,SYBR,K,19,miR-193b,022017_run_0424_GVAG_4hr,2,022017_run_0424,GVAG,4hr,VK2,Unknown,23.126862,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
260,K20,sybr,SYBR,K,20,miR-193b,022017_run_0424_GVAG_4hr,3,022017_run_0424,GVAG,4hr,VK2,Unknown,22.958313,62.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
306,M18,sybr,SYBR,M,18,miR-193b,022017_run_0424_MEDIA_4hr,1,022017_run_0424,MEDIA,4hr,VK2,Unknown,23.649609,62.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
307,M19,sybr,SYBR,M,19,miR-193b,022017_run_0424_MEDIA_4hr,2,022017_run_0424,MEDIA,4hr,VK2,Unknown,23.455273,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
308,M20,sybr,SYBR,M,20,miR-193b,022017_run_0424_MEDIA_4hr,3,022017_run_0424,MEDIA,4hr,VK2,Unknown,23.246595,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
166,G22,sybr,SYBR,G,22,miR-193b,042417_D_10_4hr,1,042417,D_10,4hr,VK2,Unknown,23.322617,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
167,G23,sybr,SYBR,G,23,miR-193b,042417_D_10_4hr,2,042417,D_10,4hr,VK2,Unknown,23.330639,62.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
168,G24,sybr,SYBR,G,24,miR-193b,042417_D_10_4hr,3,042417,D_10,4hr,VK2,Unknown,23.248955,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22,A22,sybr,SYBR,A,22,miR-193b,042417_D_12_4hr,1,042417,D_12,4hr,VK2,Unknown,22.778217,76.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
