SDS 2.4	AQ Results	1.0
Filename	091216_LCM_miRCURY
PlateID	
Assay Type	Absolute Quantification
Run DateTime	9/13/16 3:37:10 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
1	A1	sybr	SYBR	Unknown	25.344158	69.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
2	A2	sybr	SYBR	Unknown	25.407417	69.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
23	A23	sybr	SYBR	Unknown	23.17116	68.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
24	A24	sybr	SYBR	Unknown	23.073696	68.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
25	B1	sybr	SYBR	Unknown	Undetermined	82.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true					true				
26	B2	sybr	SYBR	Unknown	Undetermined	84.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true					true				
47	B23	sybr	SYBR	Unknown	Undetermined	70.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true					true				
48	B24	sybr	SYBR	Unknown	30.324892	87.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true									
49	C1	sybr	SYBR	Unknown	26.46798	69.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
50	C2	sybr	SYBR	Unknown	26.261034	70.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
71	C23	sybr	SYBR	Unknown	24.358847	69.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
72	C24	sybr	SYBR	Unknown	24.366203	69.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
