WellN	Row	Column	PrimerPair	Sample	Replciate	InputRNA	InputcDNA	Well	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF
358	O	22	miR-103a	061016_Lcrisp	1	7	3	O22	sybr	SYBR	Unknown	17.760754	76.4	Auto Tm							Manual Ct		Automatic			Manual	0.2												
359	O	23	miR-103a	061016_Lcrisp	2	7	3	O23	sybr	SYBR	Unknown	18.49741	76.1	Auto Tm							Manual Ct		Automatic			Manual	0.2												
360	O	24	miR-103a	061016_Lcrisp	3	7	3	O24	sybr	SYBR	Unknown	19.422037	76.1	Auto Tm							Manual Ct		Automatic			Manual	0.2												
262	K	22	miR-103a	Gvag	1	0.7	3	K22	sybr	SYBR	Unknown	22.643885	77	Auto Tm							Manual Ct		Automatic			Manual	0.2												
263	K	23	miR-103a	Gvag	2	0.7	3	K23	sybr	SYBR	Unknown	22.83649	76.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
264	K	24	miR-103a	Gvag	3	0.7	3	K24	sybr	SYBR	Unknown	22.590307	76.6	Auto Tm							Manual Ct		Automatic			Manual	0.2												
118	E	22	miR-103a	Gvag	1	7	3	E22	sybr	SYBR	Unknown	20.313766	77	Auto Tm							Manual Ct		Automatic			Manual	0.2												
119	E	23	miR-103a	Gvag	2	7	3	E23	sybr	SYBR	Unknown	20.360281	76.7	Auto Tm							Manual Ct		Automatic			Manual	0.2												
120	E	24	miR-103a	Gvag	3	7	3	E24	sybr	SYBR	Unknown	20.3128	76.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
310	M	22	miR-103a	Lcrisp	1	7	0.3	M22	sybr	SYBR	Unknown	24.817934	75.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
311	M	23	miR-103a	Lcrisp	2	7	0.3	M23	sybr	SYBR	Unknown	25.01231	75.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
312	M	24	miR-103a	Lcrisp	3	7	0.3	M24	sybr	SYBR	Unknown	24.91185	75.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
214	I	22	miR-103a	Lcrisp	1	0.7	3	I22	sybr	SYBR	Unknown	22.651953	77	Auto Tm							Manual Ct		Automatic			Manual	0.2												
215	I	23	miR-103a	Lcrisp	2	0.7	3	I23	sybr	SYBR	Unknown	22.422373	76.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
216	I	24	miR-103a	Lcrisp	3	0.7	3	I24	sybr	SYBR	Unknown	22.698374	76.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
22	A	22	miR-103a	Lcrisp	1	7	3	A22	sybr	SYBR	Unknown	20.185785	76.4	Auto Tm							Manual Ct		Automatic			Manual	0.2												
23	A	23	miR-103a	Lcrisp	2	7	3	A23	sybr	SYBR	Unknown	20.281202	76.4	Auto Tm							Manual Ct		Automatic			Manual	0.2												
24	A	24	miR-103a	Lcrisp	3	7	3	A24	sybr	SYBR	Unknown	20.124193	76.4	Auto Tm							Manual Ct		Automatic			Manual	0.2												
70	C	22	miR-103a	Liners	1	7	3	C22	sybr	SYBR	Unknown	20.071898	76.7	Auto Tm							Manual Ct		Automatic			Manual	0.2												
71	C	23	miR-103a	Liners	2	7	3	C23	sybr	SYBR	Unknown	19.967842	76.4	Auto Tm							Manual Ct		Automatic			Manual	0.2												
72	C	24	miR-103a	Liners	3	7	3	C24	sybr	SYBR	Unknown	20.021214	76.6	Auto Tm							Manual Ct		Automatic			Manual	0.2												
166	G	22	miR-103a	Media	1	7	3	G22	sybr	SYBR	Unknown	21.092695	77	Auto Tm							Manual Ct		Automatic			Manual	0.2												
167	G	23	miR-103a	Media	2	7	3	G23	sybr	SYBR	Unknown	21.10901	76.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
168	G	24	miR-103a	Media	3	7	3	G24	sybr	SYBR	Unknown	21.161516	76.9	Auto Tm							Manual Ct		Automatic			Manual	0.2												
356	O	20	miR-103a	NTC	1	7	3	O20	sybr	SYBR	Unknown	NA	62.7	Auto Tm							Manual Ct		Automatic			Manual	0.2				TRUE		TRUE			TRUE			
357	O	21	miR-103a	NTC	2	7	3	O21	sybr	SYBR	Unknown	NA	62.2	Auto Tm							Manual Ct		Automatic			Manual	0.2				TRUE		TRUE			TRUE			
337	O	1	miR-193b	061016_Lcrisp	1	7	3	O1	sybr	SYBR	Unknown	14.86074	75.3	Auto Tm							Manual Ct		Automatic			Manual	0.2												
