Study,Well,Sample Name,Detector Name,Sample,PrimerPair,BCM,ExposureTime,CellLine,Replicate,Row,Col,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
052917,7,A7,sybr,052917_VK2_LINERS_16hr,miR-193b,LINERS,16hr,VK2,1,A,7,SYBR,Unknown,24.25678,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
052917,8,A8,sybr,052917_VK2_LINERS_16hr,miR-193b,LINERS,16hr,VK2,2,A,8,SYBR,Unknown,24.10168,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
052917,9,A9,sybr,052917_VK2_LINERS_16hr,miR-193b,LINERS,16hr,VK2,3,A,9,SYBR,Unknown,23.958235,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
052917,16,A16,sybr,052917_VK2_LINERS_16hr,RNU6,LINERS,16hr,VK2,1,A,16,SYBR,Unknown,20.159483,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
052917,17,A17,sybr,052917_VK2_LINERS_16hr,RNU6,LINERS,16hr,VK2,2,A,17,SYBR,Unknown,20.161411,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
052917,18,A18,sybr,052917_VK2_LINERS_16hr,RNU6,LINERS,16hr,VK2,3,A,18,SYBR,Unknown,19.944942,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
052917,55,C7,sybr,052917_VK2_LINERS_19hr,miR-193b,LINERS,19hr,VK2,1,C,7,SYBR,Unknown,23.58546,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
052917,56,C8,sybr,052917_VK2_LINERS_19hr,miR-193b,LINERS,19hr,VK2,2,C,8,SYBR,Unknown,23.570568,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
052917,57,C9,sybr,052917_VK2_LINERS_19hr,miR-193b,LINERS,19hr,VK2,3,C,9,SYBR,Unknown,23.652328,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
052917,64,C16,sybr,052917_VK2_LINERS_19hr,RNU6,LINERS,19hr,VK2,1,C,16,SYBR,Unknown,20.091627,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
052917,65,C17,sybr,052917_VK2_LINERS_19hr,RNU6,LINERS,19hr,VK2,2,C,17,SYBR,Unknown,19.894308,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
052917,66,C18,sybr,052917_VK2_LINERS_19hr,RNU6,LINERS,19hr,VK2,3,C,18,SYBR,Unknown,19.849947,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
052917,340,O4,sybr,052917_VK2_MEDIA_8hr,miR-193b,MEDIA,8hr,VK2,1,O,4,SYBR,Unknown,23.447716,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
052917,341,O5,sybr,052917_VK2_MEDIA_8hr,miR-193b,MEDIA,8hr,VK2,2,O,5,SYBR,Unknown,23.669867,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
052917,342,O6,sybr,052917_VK2_MEDIA_8hr,miR-193b,MEDIA,8hr,VK2,3,O,6,SYBR,Unknown,23.450657,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,TRUE,,,,,
052917,355,O19,sybr,052917_VK2_MEDIA_8hr,RNU6,MEDIA,8hr,VK2,1,O,19,SYBR,Unknown,19.150711,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
052917,356,O20,sybr,052917_VK2_MEDIA_8hr,RNU6,MEDIA,8hr,VK2,2,O,20,SYBR,Unknown,18.769377,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,TRUE,,,,,
052917,357,O21,sybr,052917_VK2_MEDIA_8hr,RNU6,MEDIA,8hr,VK2,3,O,21,SYBR,Unknown,18.977144,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,52,C4,sybr,093017_VK2_GVAG_16hr,miR-193b,GVAG,16hr,VK2,1,C,4,SYBR,Unknown,25.936026,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,53,C5,sybr,093017_VK2_GVAG_16hr,miR-193b,GVAG,16hr,VK2,2,C,5,SYBR,Unknown,25.898354,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,54,C6,sybr,093017_VK2_GVAG_16hr,miR-193b,GVAG,16hr,VK2,3,C,6,SYBR,Unknown,25.987555,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,67,C19,sybr,093017_VK2_GVAG_16hr,RNU6,GVAG,16hr,VK2,1,C,19,SYBR,Unknown,22.464855,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
093017,68,C20,sybr,093017_VK2_GVAG_16hr,RNU6,GVAG,16hr,VK2,2,C,20,SYBR,Unknown,22.738651,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
093017,69,C21,sybr,093017_VK2_GVAG_16hr,RNU6,GVAG,16hr,VK2,3,C,21,SYBR,Unknown,22.532299,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
093017,244,K4,sybr,093017_VK2_GVAG_19hr,miR-193b,GVAG,19hr,VK2,1,K,4,SYBR,Unknown,27.389378,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,245,K5,sybr,093017_VK2_GVAG_19hr,miR-193b,GVAG,19hr,VK2,2,K,5,SYBR,Unknown,27.339619,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,246,K6,sybr,093017_VK2_GVAG_19hr,miR-193b,GVAG,19hr,VK2,3,K,6,SYBR,Unknown,27.235836,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,259,K19,sybr,093017_VK2_GVAG_19hr,RNU6,GVAG,19hr,VK2,1,K,19,SYBR,Unknown,24.369396,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,260,K20,sybr,093017_VK2_GVAG_19hr,RNU6,GVAG,19hr,VK2,2,K,20,SYBR,Unknown,24.306843,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,261,K21,sybr,093017_VK2_GVAG_19hr,RNU6,GVAG,19hr,VK2,3,K,21,SYBR,Unknown,24.211626,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
093017,145,G1,sybr,093017_VK2_GVAG_8hr,miR-193b,GVAG,8hr,VK2,1,G,1,SYBR,Unknown,27.431032,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,146,G2,sybr,093017_VK2_GVAG_8hr,miR-193b,GVAG,8hr,VK2,2,G,2,SYBR,Unknown,27.734684,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
093017,147,G3,sybr,093017_VK2_GVAG_8hr,miR-193b,GVAG,8hr,VK2,3,G,3,SYBR,Unknown,28.219852,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
093017,166,G22,sybr,093017_VK2_GVAG_8hr,RNU6,GVAG,8hr,VK2,1,G,22,SYBR,Unknown,22.60376,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,167,G23,sybr,093017_VK2_GVAG_8hr,RNU6,GVAG,8hr,VK2,2,G,23,SYBR,Unknown,22.831133,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,168,G24,sybr,093017_VK2_GVAG_8hr,RNU6,GVAG,8hr,VK2,3,G,24,SYBR,Unknown,22.626635,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
093017,241,K1,sybr,093017_VK2_LACTICAICD_8hr,miR-193b,LACTICAICD,8hr,VK2,1,K,1,SYBR,Unknown,26.783596,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,242,K2,sybr,093017_VK2_LACTICAICD_8hr,miR-193b,LACTICAICD,8hr,VK2,2,K,2,SYBR,Unknown,26.716904,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,243,K3,sybr,093017_VK2_LACTICAICD_8hr,miR-193b,LACTICAICD,8hr,VK2,3,K,3,SYBR,Unknown,26.78939,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,TRUE,,,,,,,
093017,262,K22,sybr,093017_VK2_LACTICAICD_8hr,RNU6,LACTICAICD,8hr,VK2,1,K,22,SYBR,Unknown,24.237574,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
093017,263,K23,sybr,093017_VK2_LACTICAICD_8hr,RNU6,LACTICAICD,8hr,VK2,2,K,23,SYBR,Unknown,25.2284,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
