Sample,Conc_ng_ul,RINe
052917_VK2_LINERS_16hr,NA,NA
052917_VK2_LINERS_19hr,NA,NA
052917_VK2_MEDIA_8hr,NA,NA
093017_VK2_GVAG_16hr,254,10
093017_VK2_GVAG_19hr,214,10
093017_VK2_GVAG_8hr,39,10
093017_VK2_LACTICAICD_8hr,143,10
093017_VK2_LCRISP_16hr,211,10
093017_VK2_LCRISP_19hr,148,10
093017_VK2_LCRISP_8hr,88,10
093017_VK2_LINERS_16hr,196,8.7
093017_VK2_LINERS_8hr,222,10
093017_VK2_LJENS_16hr,150,10
093017_VK2_LJENS_19hr,151,10
093017_VK2_LJENS_8hr,153,10
093017_VK2_MEDIA_16hr,259,10
093017_VK2_MEDIA_19hr,112,10
093017_VK2_MEDIA_8hr,229,9.7
