Sample,pH,,
052917_VK2_LINERS_16hr,NA,,
052917_VK2_LINERS_19hr,NA,,
052917_VK2_MEDIA_8hr,NA,,
093017_VK2_GVAG_16hr,7.3,,
093017_VK2_GVAG_19hr,7.3,,
093017_VK2_GVAG_8hr,7.3,,
093017_VK2_LACTICAICD_8hr,6.63,,
093017_VK2_LCRISP_16hr,6.53,,
093017_VK2_LCRISP_19hr,6.53,,
093017_VK2_LCRISP_8hr,6.53,,
093017_VK2_LINERS_16hr,6.88,,
093017_VK2_LINERS_8hr,6.88,,
093017_VK2_LJENS_16hr,6.39,,
093017_VK2_LJENS_19hr,6.39,,
093017_VK2_LJENS_8hr,6.39,,
093017_VK2_MEDIA_16hr,7.56,,
093017_VK2_MEDIA_19hr,7.56,,
093017_VK2_MEDIA_8hr,7.56,,
