Study,Well,Sample Name,PrimerPair,Sample,CellLine,BCM,Replicate,Detector Name,ExposureTime,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
1009_10_16,119,E23,miR-103a,A2EN_GVAG_1_1_1HR,A2EN,GVAG,1,sybr,1hr,SYBR,Unknown,21.686285,77.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,120,E24,miR-103a,A2EN_GVAG_1_1_1HR,A2EN,GVAG,2,sybr,1hr,SYBR,Unknown,21.187696,76.9,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,23,A23,miR-103a,A2EN_LCRISP_1_1_1HR,A2EN,LCRISP,1,sybr,1hr,SYBR,Unknown,21.037415,76.7,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,24,A24,miR-103a,A2EN_LCRISP_1_1_1HR,A2EN,LCRISP,2,sybr,1hr,SYBR,Unknown,21.098337,76.4,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,71,C23,miR-103a,A2EN_LINERS_1_1_1HR,A2EN,LINERS,1,sybr,1hr,SYBR,Unknown,21.31008,77,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,72,C24,miR-103a,A2EN_LINERS_1_1_1HR,A2EN,LINERS,2,sybr,1hr,SYBR,Unknown,21.359507,76.7,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,167,G23,miR-103a,A2EN_MEDIA_1_1_1HR,A2EN,MEDIA,1,sybr,1hr,SYBR,Unknown,21.66442,77.5,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,168,G24,miR-103a,A2EN_MEDIA_1_1_1HR,A2EN,MEDIA,2,sybr,1hr,SYBR,Unknown,21.653185,77.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,311,M23,miR-103a,VK2_GVAG_1_1_1HR,VK2,GVAG,1,sybr,1hr,SYBR,Unknown,21.544283,77.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,312,M24,miR-103a,VK2_GVAG_1_1_1HR,VK2,GVAG,2,sybr,1hr,SYBR,Unknown,21.346848,77.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,215,I23,miR-103a,VK2_LCRISP_1_1_1HR,VK2,LCRISP,1,sybr,1hr,SYBR,Unknown,23.027424,77.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,216,I24,miR-103a,VK2_LCRISP_1_1_1HR,VK2,LCRISP,2,sybr,1hr,SYBR,Unknown,23.04715,77.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,263,K23,miR-103a,VK2_LINERS_1_1_1HR,VK2,LINERS,1,sybr,1hr,SYBR,Unknown,21.83066,77.5,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,264,K24,miR-103a,VK2_LINERS_1_1_1HR,VK2,LINERS,2,sybr,1hr,SYBR,Unknown,21.511246,77.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,359,O23,miR-103a,VK2_MEDIA_1_1_1HR,VK2,MEDIA,1,sybr,1hr,SYBR,Unknown,21.66396,77,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,360,O24,miR-103a,VK2_MEDIA_1_1_1HR,VK2,MEDIA,2,sybr,1hr,SYBR,Unknown,21.561296,76.9,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
1009_10_16,97,E1,miR-193b,A2EN_GVAG_1_1_1HR,A2EN,GVAG,1,sybr,1hr,SYBR,Unknown,24.760572,77.4,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.5333805,,,,,,,,,,,,
