Study,Well,Sample,Sample Name,Row,Column,PrimerPair,BCM,Dilution,ExposureTime,Replicate,CellLine,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
110116,1,Lcrisp_1_5_22hr,A1,A,1,miR-193b,LCRISP,1_5,22hr,1,VK2,sybr,SYBR,Unknown,24.116617,76.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,2,Lcrisp_1_5_22hr,A2,A,2,miR-193b,LCRISP,1_5,22hr,2,VK2,sybr,SYBR,Unknown,24.053644,76.6,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,3,Lcrisp_1_5_22hr,A3,A,3,miR-193b,LCRISP,1_5,22hr,3,VK2,sybr,SYBR,Unknown,24.038328,76.5,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,12,Lcrisp_1_5_22hr,A12,A,12,miR-182,LCRISP,1_5,22hr,1,VK2,sybr,SYBR,Unknown,24.211496,76.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,13,Lcrisp_1_5_22hr,A13,A,13,miR-182,LCRISP,1_5,22hr,2,VK2,sybr,SYBR,Unknown,24.316666,76.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,14,Lcrisp_1_5_22hr,A14,A,14,miR-182,LCRISP,1_5,22hr,3,VK2,sybr,SYBR,Unknown,24.122091,76.2,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,22,Lcrisp_1_5_22hr,A22,A,22,RNU6,LCRISP,1_5,22hr,1,VK2,sybr,SYBR,Unknown,20.723875,75.1,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,23,Lcrisp_1_5_22hr,A23,A,23,RNU6,LCRISP,1_5,22hr,2,VK2,sybr,SYBR,Unknown,20.59535,74.8,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,24,Lcrisp_1_5_22hr,A24,A,24,RNU6,LCRISP,1_5,22hr,3,VK2,sybr,SYBR,Unknown,20.506245,74.8,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
110116,49,Liners_1_5_22hr,C1,C,1,miR-193b,LINERS,1_5,22hr,1,VK2,sybr,SYBR,Unknown,24.313164,76.6,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.3115706,,,,,,,,,,,,
