Study,Well,Sample,Sample Name,Detector Name,Reporter,Task,Ct,PrimerPair,BCM,ExposureTime,CellLine,Replicate,Row,Col,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
091417,1,091417_DL_10_0.5hr,A1,sybr,SYBR,Unknown,31.093782,miR-193b,DL_10,0.5hr,VK2,1,A,1,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,49,091417_DL_10_1hr,C1,sybr,SYBR,Unknown,22.780186,miR-193b,DL_10,1hr,VK2,1,C,1,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,97,091417_DL_10_4hr,E1,sybr,SYBR,Unknown,22.866137,miR-193b,DL_10,4hr,VK2,1,E,1,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,145,091417_DL_10_8hr,G1,sybr,SYBR,Unknown,22.596151,miR-193b,DL_10,8hr,VK2,1,G,1,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,193,091417_DL_10_16hr,I1,sybr,SYBR,Unknown,22.857231,miR-193b,DL_10,16hr,VK2,1,I,1,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,241,091417_DL_10_19hr,K1,sybr,SYBR,Unknown,23.090107,miR-193b,DL_10,19hr,VK2,1,K,1,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,289,091417_DL_10_22hr,M1,sybr,SYBR,Unknown,23.475075,miR-193b,DL_10,22hr,VK2,1,M,1,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,337,091417_MEDIA_0.5hr,O1,sybr,SYBR,Unknown,23.805073,miR-193b,MEDIA,0.5hr,VK2,1,O,1,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,2,091417_DL_10_0.5hr,A2,sybr,SYBR,Unknown,31.516289,miR-193b,DL_10,0.5hr,VK2,2,A,2,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,50,091417_DL_10_1hr,C2,sybr,SYBR,Unknown,22.776579,miR-193b,DL_10,1hr,VK2,2,C,2,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
