Sample,RINe,Conc_ng_ul
110816_VK2_GVAG_13hr,9.7,52.4
110816_VK2_LACTICACIDD0.1_PERCENT_13hr,9.2,26.1
110816_VK2_LACTICACIDD0.2_PERCENT_13hr,9.9,44.6
110816_VK2_LACTICACIDD0.3_PERCENT_13hr,10,68
110816_VK2_LACTICACIDD0.4_PERCENT_13hr,9.7,33
110816_VK2_LACTICACIDL0.1_PERCENT_13hr,9.3,54.3
110816_VK2_LACTICACIDL0.2_PERCENT_13hr,9.3,59.7
110816_VK2_LACTICACIDL0.3_PERCENT_13hr,9.5,66.5
110816_VK2_LACTICACIDL0.4_PERCENT_13hr,9.2,40.2
110816_VK2_LCRISP_13hr,9.8,67.3
110816_VK2_LINERS_13hr,9.5,61.8
110816_VK2_MEDIA_13hr,9.7,55.3
110816_VK2_NTC_13hr,NA,NA
