Sample,pH
110816_VK2_GVAG_13hr,7.43
110816_VK2_LACTICACIDD0.1_PERCENT_13hr,7.77
110816_VK2_LACTICACIDD0.2_PERCENT_13hr,7.65
110816_VK2_LACTICACIDD0.3_PERCENT_13hr,7.54
110816_VK2_LACTICACIDD0.4_PERCENT_13hr,7.5
110816_VK2_LACTICACIDL0.1_PERCENT_13hr,7.49
110816_VK2_LACTICACIDL0.2_PERCENT_13hr,7.23
110816_VK2_LACTICACIDL0.3_PERCENT_13hr,7.38
110816_VK2_LACTICACIDL0.4_PERCENT_13hr,7.26
110816_VK2_LCRISP_13hr,7.13
110816_VK2_LINERS_13hr,7.33
110816_VK2_MEDIA_13hr,7.78
110816_VK2_NTC_13hr,NA
