Well,Sample Name,Col,Row,PrimerPair,Sample,ExposureTime,Replicate,BCM,CellLine,Study,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
1,A1,A,1,miR-193b,110816_FLEX_LCRISP_VK2,13hr,1,LCRISP,VK2,110816_FLEX,sybr,SYBR,Unknown,23.044632,75,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
2,A2,A,2,miR-193b,110816_FLEX_LCRISP_VK2,13hr,2,LCRISP,VK2,110816_FLEX,sybr,SYBR,Unknown,23.17684,75.5,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
12,A12,A,12,CCND1,110816_FLEX_LCRISP_VK2,13hr,1,LCRISP,VK2,110816_FLEX,sybr,SYBR,Unknown,28.241924,81.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
13,A13,A,13,CCND1,110816_FLEX_LCRISP_VK2,13hr,2,LCRISP,VK2,110816_FLEX,sybr,SYBR,Unknown,28.167068,62,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
23,A23,A,23,RNU6,110816_FLEX_LCRISP_VK2,13hr,1,LCRISP,VK2,110816_FLEX,sybr,SYBR,Unknown,19.74324,74.3,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
24,A24,A,24,RNU6,110816_FLEX_LCRISP_VK2,13hr,2,LCRISP,VK2,110816_FLEX,sybr,SYBR,Unknown,19.671007,74,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
49,C1,C,1,miR-193b,110816_FLEX_LINERS_VK2,13hr,1,LINERS,VK2,110816_FLEX,sybr,SYBR,Unknown,22.647856,75.5,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
50,C2,C,2,miR-193b,110816_FLEX_LINERS_VK2,13hr,2,LINERS,VK2,110816_FLEX,sybr,SYBR,Unknown,22.62618,75.8,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
60,C12,C,12,CCND1,110816_FLEX_LINERS_VK2,13hr,1,LINERS,VK2,110816_FLEX,sybr,SYBR,Unknown,27.60481,62.8,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
61,C13,C,13,CCND1,110816_FLEX_LINERS_VK2,13hr,2,LINERS,VK2,110816_FLEX,sybr,SYBR,Unknown,27.746105,64.6,Auto Tm,,,,,,,Automatic Ct,,Automatic,,,Automatic,0.755459,,,,,,,,,,,,
