Well,Sample Name,Col,Row,PrimerPair,Sample,ExposureTime,Replicate,BCM,CellLine,Study,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
1,A1,A,1,miR-193b,110816_VK2_LCRISP,13hr,1,LCRISP,VK2,110816,sybr,SYBR,Unknown,23.056177,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
2,A2,A,2,miR-193b,110816_VK2_LCRISP,13hr,2,LCRISP,VK2,110816,sybr,SYBR,Unknown,23.324291,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
3,A3,A,3,miR-193b,110816_VK2_LCRISP,13hr,3,LCRISP,VK2,110816,sybr,SYBR,Unknown,23.10298,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,TRUE,,,,,,,
12,A12,A,12,miR-182,110816_VK2_LCRISP,13hr,1,LCRISP,VK2,110816,sybr,SYBR,Unknown,23.632175,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
13,A13,A,13,miR-182,110816_VK2_LCRISP,13hr,2,LCRISP,VK2,110816,sybr,SYBR,Unknown,23.614674,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
14,A14,A,14,miR-182,110816_VK2_LCRISP,13hr,3,LCRISP,VK2,110816,sybr,SYBR,Unknown,23.5542,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
22,A22,A,22,RNU6,110816_VK2_LCRISP,13hr,1,LCRISP,VK2,110816,sybr,SYBR,Unknown,20.45964,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
23,A23,A,23,RNU6,110816_VK2_LCRISP,13hr,2,LCRISP,VK2,110816,sybr,SYBR,Unknown,20.394436,74.5,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
24,A24,A,24,RNU6,110816_VK2_LCRISP,13hr,3,LCRISP,VK2,110816,sybr,SYBR,Unknown,20.277817,74.8,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
49,C1,C,1,miR-193b,110816_VK2_LINERS,13hr,1,LINERS,VK2,110816,sybr,SYBR,Unknown,23.21553,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
50,C2,C,2,miR-193b,110816_VK2_LINERS,13hr,2,LINERS,VK2,110816,sybr,SYBR,Unknown,23.277788,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
51,C3,C,3,miR-193b,110816_VK2_LINERS,13hr,3,LINERS,VK2,110816,sybr,SYBR,Unknown,23.294573,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
60,C12,C,12,miR-182,110816_VK2_LINERS,13hr,1,LINERS,VK2,110816,sybr,SYBR,Unknown,23.782759,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
61,C13,C,13,miR-182,110816_VK2_LINERS,13hr,2,LINERS,VK2,110816,sybr,SYBR,Unknown,23.796309,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,TRUE,,,,,,,
62,C14,C,14,miR-182,110816_VK2_LINERS,13hr,3,LINERS,VK2,110816,sybr,SYBR,Unknown,23.775558,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,TRUE,,,,,,,
70,C22,C,22,RNU6,110816_VK2_LINERS,13hr,1,LINERS,VK2,110816,sybr,SYBR,Unknown,19.78127,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
71,C23,C,23,RNU6,110816_VK2_LINERS,13hr,2,LINERS,VK2,110816,sybr,SYBR,Unknown,19.771189,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
72,C24,C,24,RNU6,110816_VK2_LINERS,13hr,3,LINERS,VK2,110816,sybr,SYBR,Unknown,19.48814,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
97,E1,E,1,miR-193b,110816_VK2_GVAG,13hr,1,GVAG,VK2,110816,sybr,SYBR,Unknown,23.452866,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
98,E2,E,2,miR-193b,110816_VK2_GVAG,13hr,2,GVAG,VK2,110816,sybr,SYBR,Unknown,23.578255,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
99,E3,E,3,miR-193b,110816_VK2_GVAG,13hr,3,GVAG,VK2,110816,sybr,SYBR,Unknown,23.513596,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
108,E12,E,12,miR-182,110816_VK2_GVAG,13hr,1,GVAG,VK2,110816,sybr,SYBR,Unknown,23.740828,76.5,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
109,E13,E,13,miR-182,110816_VK2_GVAG,13hr,2,GVAG,VK2,110816,sybr,SYBR,Unknown,23.94217,76.5,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
110,E14,E,14,miR-182,110816_VK2_GVAG,13hr,3,GVAG,VK2,110816,sybr,SYBR,Unknown,23.910126,76.5,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
118,E22,E,22,RNU6,110816_VK2_GVAG,13hr,1,GVAG,VK2,110816,sybr,SYBR,Unknown,20.003376,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
