Study,Well,PrimerPair,Replicate,Sample,Row,Col,CellLine,ExposureTime,BCM,Sample Name,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,hrN,EAF,BAF,TAF,CAF
112816,1,miR-193b,1,112816_LINERS_0.5hr,A,1,VK2,0.5hr,LINERS,A1,sybr,SYBR,Unknown,27.554338,76.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,49,miR-193b,1,112816_LINERS_4hr,C,1,VK2,4hr,LINERS,C1,sybr,SYBR,Unknown,26.004595,76.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,97,miR-193b,1,112816_LCRISP_1hr,E,1,VK2,1hr,LCRISP,E1,sybr,SYBR,Unknown,28.688534,76.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,145,miR-193b,1,112816_LINERS_1hr,G,1,VK2,1hr,LINERS,G1,sybr,SYBR,Unknown,26.926414,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,193,miR-193b,1,112816_GVAG_1hr,I,1,VK2,1hr,GVAG,I1,sybr,SYBR,Unknown,25.92719,77.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,241,miR-193b,1,112816_MEDIA_1hr,K,1,VK2,1hr,MEDIA,K1,sybr,SYBR,Unknown,25.543505,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,289,miR-193b,1,112816_NTC_NA,M,1,VK2,NA,NTC,M1,sybr,SYBR,Unknown,NA,64,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,TRUE,,TRUE,,,TRUE,,,
112816,2,miR-193b,2,112816_LINERS_0.5hr,A,2,VK2,0.5hr,LINERS,A2,sybr,SYBR,Unknown,27.575298,76.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,50,miR-193b,2,112816_LINERS_4hr,C,2,VK2,4hr,LINERS,C2,sybr,SYBR,Unknown,25.872835,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,98,miR-193b,2,112816_LCRISP_1hr,E,2,VK2,1hr,LCRISP,E2,sybr,SYBR,Unknown,28.707668,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,146,miR-193b,2,112816_LINERS_1hr,G,2,VK2,1hr,LINERS,G2,sybr,SYBR,Unknown,26.84671,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,194,miR-193b,2,112816_GVAG_1hr,I,2,VK2,1hr,GVAG,I2,sybr,SYBR,Unknown,25.974627,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
