Study,Well,Sample Name,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
112816_run2,12,LCRISP_miR-182,miR-182,1,112816_run2_LCRISP_1hr,VK2,1hr,LCRISP,,sybr,SYBR,Unknown,26.830765,,,,,,26.647594,26.686777,0.12894227,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,13,LCRISP_miR-182,miR-182,2,112816_run2_LCRISP_1hr,VK2,1hr,LCRISP,,sybr,SYBR,Unknown,26.58197,,,,,,26.647594,26.686777,0.12894227,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,14,LCRISP_miR-182,miR-182,3,112816_run2_LCRISP_1hr,VK2,1hr,LCRISP,,sybr,SYBR,Unknown,26.647594,,,,,,26.647594,26.686777,0.12894227,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,1,LCRISP_miR-193b,miR-193b,1,112816_run2_LCRISP_1hr,VK2,1hr,LCRISP,,sybr,SYBR,Unknown,28.431147,,,,,,28.011703,28.011703,0.59318084,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,49,LCRISP_miR-193b,miR-193b,2,112816_run2_LCRISP_1hr,VK2,1hr,LCRISP,,sybr,SYBR,Unknown,27.592262,,,,,,28.011703,28.011703,0.59318084,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,23,LCRISP_RNU6,RNU6,1,112816_run2_LCRISP_1hr,VK2,1hr,LCRISP,,sybr,SYBR,Unknown,23.453833,,,,,,23.40588,23.40588,0.06781664,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,71,LCRISP_RNU6,RNU6,2,112816_run2_LCRISP_1hr,VK2,1hr,LCRISP,,sybr,SYBR,Unknown,23.357925,,,,,,23.40588,23.40588,0.06781664,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,60,MEDIA_miR-182,miR-182,1,112816_run2_MEDIA_1hr,VK2,1hr,MEDIA,,sybr,SYBR,Unknown,24.555208,,,,,,24.429441,24.446447,0.10133468,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,61,MEDIA_miR-182,miR-182,2,112816_run2_MEDIA_1hr,VK2,1hr,MEDIA,,sybr,SYBR,Unknown,24.429441,,,,,,24.429441,24.446447,0.10133468,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,62,MEDIA_miR-182,miR-182,3,112816_run2_MEDIA_1hr,VK2,1hr,MEDIA,,sybr,SYBR,Unknown,24.35469,,,,,,24.429441,24.446447,0.10133468,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,2,MEDIA_miR-193b,miR-193b,1,112816_run2_MEDIA_1hr,VK2,1hr,MEDIA,,sybr,SYBR,Unknown,25.145134,,,,,,24.893564,24.893564,0.35577336,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,50,MEDIA_miR-193b,miR-193b,2,112816_run2_MEDIA_1hr,VK2,1hr,MEDIA,,sybr,SYBR,Unknown,24.641994,,,,,,24.893564,24.893564,0.35577336,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,TRUE,,,,,
112816_run2,24,MEDIA_RNU6,RNU6,1,112816_run2_MEDIA_1hr,VK2,1hr,MEDIA,,sybr,SYBR,Unknown,20.156475,,,,,,20.169891,20.169891,0.0189735,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,72,MEDIA_RNU6,RNU6,2,112816_run2_MEDIA_1hr,VK2,1hr,MEDIA,,sybr,SYBR,Unknown,20.183308,,,,,,20.169891,20.169891,0.0189735,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
112816_run2,97,NTC,NA,1,112816_run2_NTC_NA,VK2,NA,NTC,,sybr,SYBR,NTC,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,TRUE,,TRUE,,,,,,
112816_run2,98,NTC,NA,2,112816_run2_NTC_NA,VK2,NA,NTC,,sybr,SYBR,NTC,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,TRUE,,TRUE,,,,,,
112816_run2,119,NTC,NA,1,112816_run2_NTC_NA,VK2,NA,NTC,,sybr,SYBR,NTC,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,TRUE,,TRUE,,,,,,
112816_run2,120,NTC,NA,2,112816_run2_NTC_NA,VK2,NA,NTC,,sybr,SYBR,NTC,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,TRUE,,TRUE,,,,,,
