BCS,ExposureTime,CCND1_BACTIN,BCS_MEDIA,ALT
L. crispatus,4,0.000257492,0.0240,0.0067
L. jensenii,4,0.001110315,0.0288,
L. iners,4,0.007838828,0.2036,
G. vaginalis,4,0.015801012,0.4103,
0.1% DL lactic acid,4,0.004698545,0.1220,
Cell Culture Medium,4,0.038508065,1.0000,
L. crispatus,13,,0.1500,
L. jensenii,13,,0.2500,
L. iners,13,,1.3400,
G. vaginalis,13,,1.0800,
0.1% DL lactic acid,13,0.002819549,0.4312,
Cell Culture Medium,13,,1.0000,
L. crispatus,22,0.000358115,0.0548,0.0448
L. jensenii,22,0.001918994,0.2399,
L. iners,22,0.012287736,1.5360,
G. vaginalis,22,0.021157685,2.6447,
0.1% DL lactic acid,22,0.00713073,0.8913,
Cell Culture Medium,22,0.008,1.0000,
miR-193b mimic,24,0.037751938,4.7190,
scramble control,24,0.07245614,9.0570,
miR-193b mimic only,24,0.055507088,6.9384,
scramble control only,24,0.061111111,7.6389,
Media,24,0.044444444,5.5556,
TR,24,0.113924051,14.2405,
Ljen,24,0.024538545,3.0673,
