ID	Gene Name	Species	GOTERM_BP_DIRECT
AKAP12	A-kinase anchoring protein 12(AKAP12)	Homo sapiens	GO:0006605~protein targeting;GO:0007186~G-protein coupled receptor signaling pathway;GO:0010739~positive regulation of protein kinase A signaling;GO:0030819~positive regulation of cAMP biosynthetic process;GO:0090036~regulation of protein kinase C signaling,
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	GO:0001922~B-1 B cell homeostasis;GO:0001934~positive regulation of protein phosphorylation;GO:0002322~B cell proliferation involved in immune response;GO:0002333~transitional one stage B cell differentiation;GO:0006298~mismatch repair;GO:0006355~regulation of transcription, DNA-templated;GO:0006464~cellular protein modification process;GO:0006914~autophagy;GO:0006974~cellular response to DNA damage stimulus;GO:0006975~DNA damage induced protein phosphorylation;GO:0006979~response to oxidative stress;GO:0007050~cell cycle arrest;GO:0007067~mitotic nuclear division;GO:0007173~epidermal growth factor receptor signaling pathway;GO:0007204~positive regulation of cytosolic calcium ion concentration;GO:0008306~associative learning;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0010506~regulation of autophagy;GO:0016477~cell migration;GO:0018108~peptidyl-tyrosine phosphorylation;GO:0021587~cerebellum morphogenesis;GO:0022408~negative regulation of cell-cell adhesion;GO:0030035~microspike assembly;GO:0030036~actin cytoskeleton organization;GO:0030041~actin filament polymerization;GO:0030100~regulation of endocytosis;GO:0030155~regulation of cell adhesion;GO:0030514~negative regulation of BMP signaling pathway;GO:0030516~regulation of axon extension;GO:0031113~regulation of microtubule polymerization;GO:0032956~regulation of actin cytoskeleton organization;GO:0033690~positive regulation of osteoblast proliferation;GO:0034446~substrate adhesion-dependent cell spreading;GO:0034599~cellular response to oxidative stress;GO:0034976~response to endoplasmic reticulum stress;GO:0035791~platelet-derived growth factor receptor-beta signaling pathway;GO:0038083~peptidyl-tyrosine autophosphorylation;GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis;GO:0042127~regulation of cell proliferation;GO:0042493~response to drug;GO:0042770~signal transduction in response to DNA damage;GO:0043065~positive regulation of apoptotic process;GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB signaling;GO:0043525~positive regulation of neuron apoptotic process;GO:0045087~innate immune response;GO:0045184~establishment of protein localization;GO:0045907~positive regulation of vasoconstriction;GO:0045930~negative regulation of mitotic cell cycle;GO:0045931~positive regulation of mitotic cell cycle;GO:0046632~alpha-beta T cell differentiation;GO:0046777~protein autophosphorylation;GO:0048146~positive regulation of fibroblast proliferation;GO:0048536~spleen development;GO:0048538~thymus development;GO:0048668~collateral sprouting;GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation;GO:0050798~activated T cell proliferation;GO:0050853~B cell receptor signaling pathway;GO:0050885~neuromuscular process controlling balance;GO:0051149~positive regulation of muscle cell differentiation;GO:0051281~positive regulation of release of sequestered calcium ion into cytosol;GO:0051353~positive regulation of oxidoreductase activity;GO:0051444~negative regulation of ubiquitin-protein transferase activity;GO:0051882~mitochondrial depolarization;GO:0060020~Bergmann glial cell differentiation;GO:0070301~cellular response to hydrogen peroxide;GO:0070373~negative regulation of ERK1 and ERK2 cascade;GO:0070374~positive regulation of ERK1 and ERK2 cascade;GO:0071222~cellular response to lipopolysaccharide;GO:0071560~cellular response to transforming growth factor beta stimulus;GO:0071871~response to epinephrine;GO:0071901~negative regulation of protein serine/threonine kinase activity;GO:0090135~actin filament branching;GO:1900006~positive regulation of dendrite development;GO:1900042~positive regulation of interleukin-2 secretion;GO:1900275~negative regulation of phospholipase C activity;GO:1901216~positive regulation of neuron death;GO:1901300~positive regulation of hydrogen peroxide-mediated programmed cell death;GO:1902715~positive regulation of interferon-gamma secretion;GO:1903053~regulation of extracellular matrix organization;GO:1903055~positive regulation of extracellular matrix organization;GO:1903210~glomerular visceral epithelial cell apoptotic process;GO:1903351~cellular response to dopamine;GO:1904528~positive regulation of microtubule binding;GO:1904531~positive regulation of actin filament binding;GO:1990051~activation of protein kinase C activity;GO:2000096~positive regulation of Wnt signaling pathway, planar cell polarity pathway;GO:2000145~regulation of cell motility;GO:2000249~regulation of actin cytoskeleton reorganization;GO:2000352~negative regulation of endothelial cell apoptotic process;GO:2000773~negative regulation of cellular senescence;GO:2001020~regulation of response to DNA damage stimulus,
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens	GO:0006464~cellular protein modification process;GO:0007155~cell adhesion;GO:0007165~signal transduction;GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway;GO:0007204~positive regulation of cytosolic calcium ion concentration;GO:0010506~regulation of autophagy;GO:0010863~positive regulation of phospholipase C activity;GO:0010976~positive regulation of neuron projection development;GO:0016477~cell migration;GO:0018108~peptidyl-tyrosine phosphorylation;GO:0030036~actin cytoskeleton organization;GO:0030100~regulation of endocytosis;GO:0030155~regulation of cell adhesion;GO:0038083~peptidyl-tyrosine autophosphorylation;GO:0042127~regulation of cell proliferation;GO:0045087~innate immune response;GO:0051353~positive regulation of oxidoreductase activity;GO:0071300~cellular response to retinoic acid;GO:2000145~regulation of cell motility;GO:2000249~regulation of actin cytoskeleton reorganization,
ADAM17	ADAM metallopeptidase domain 17(ADAM17)	Homo sapiens	GO:0001666~response to hypoxia;GO:0001934~positive regulation of protein phosphorylation;GO:0002446~neutrophil mediated immunity;GO:0002467~germinal center formation;GO:0002690~positive regulation of leukocyte chemotaxis;GO:0006508~proteolysis;GO:0006509~membrane protein ectodomain proteolysis;GO:0007155~cell adhesion;GO:0007173~epidermal growth factor receptor signaling pathway;GO:0007219~Notch signaling pathway;GO:0007220~Notch receptor processing;GO:0008284~positive regulation of cell proliferation;GO:0010820~positive regulation of T cell chemotaxis;GO:0030183~B cell differentiation;GO:0030307~positive regulation of cell growth;GO:0030335~positive regulation of cell migration;GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway;GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway;GO:0031293~membrane protein intracellular domain proteolysis;GO:0031659~positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle;GO:0032496~response to lipopolysaccharide;GO:0032722~positive regulation of chemokine production;GO:0033025~regulation of mast cell apoptotic process;GO:0033077~T cell differentiation in thymus;GO:0033209~tumor necrosis factor-mediated signaling pathway;GO:0033627~cell adhesion mediated by integrin;GO:0035313~wound healing, spreading of epidermal cells;GO:0035625~epidermal growth factor-activated receptor transactivation by G-protein coupled receptor signaling pathway;GO:0042493~response to drug;GO:0045741~positive regulation of epidermal growth factor-activated receptor activity;GO:0048536~spleen development;GO:0048870~cell motility;GO:0050830~defense response to Gram-positive bacterium;GO:0051088~PMA-inducible membrane protein ectodomain proteolysis;GO:0051272~positive regulation of cellular component movement;GO:0055099~response to high density lipoprotein particle,
ARF1	ADP ribosylation factor 1(ARF1)	Homo sapiens	GO:0002090~regulation of receptor internalization;GO:0006661~phosphatidylinositol biosynthetic process;GO:0006878~cellular copper ion homeostasis;GO:0006892~post-Golgi vesicle-mediated transport;GO:0007015~actin filament organization;GO:0007264~small GTPase mediated signal transduction;GO:0015031~protein transport;GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II;GO:0034315~regulation of Arp2/3 complex-mediated actin nucleation;GO:0034379~very-low-density lipoprotein particle assembly;GO:0043085~positive regulation of catalytic activity;GO:0045807~positive regulation of endocytosis;GO:0045956~positive regulation of calcium ion-dependent exocytosis;GO:0050690~regulation of defense response to virus by virus;GO:0050714~positive regulation of protein secretion;GO:0055108~Golgi to transport vesicle transport;GO:0060292~long term synaptic depression;GO:0060999~positive regulation of dendritic spine development;GO:0070142~synaptic vesicle budding;GO:0097061~dendritic spine organization;GO:0097212~lysosomal membrane organization;GO:1902307~positive regulation of sodium ion transmembrane transport;GO:1902824~positive regulation of late endosome to lysosome transport;GO:1902953~positive regulation of ER to Golgi vesicle-mediated transport;GO:1903725~regulation of phospholipid metabolic process,
AKT1	AKT serine/threonine kinase 1(AKT1)	Homo sapiens	GO:0000060~protein import into nucleus, translocation;GO:0001649~osteoblast differentiation;GO:0001893~maternal placenta development;GO:0001934~positive regulation of protein phosphorylation;GO:0001938~positive regulation of endothelial cell proliferation;GO:0005978~glycogen biosynthetic process;GO:0005979~regulation of glycogen biosynthetic process;GO:0006006~glucose metabolic process;GO:0006412~translation;GO:0006417~regulation of translation;GO:0006464~cellular protein modification process;GO:0006468~protein phosphorylation;GO:0006469~negative regulation of protein kinase activity;GO:0006809~nitric oxide biosynthetic process;GO:0006924~activation-induced cell death of T cells;GO:0006954~inflammatory response;GO:0006974~cellular response to DNA damage stimulus;GO:0006979~response to oxidative stress;GO:0007165~signal transduction;GO:0007186~G-protein coupled receptor signaling pathway;GO:0007281~germ cell development;GO:0007568~aging;GO:0008283~cell proliferation;GO:0008286~insulin receptor signaling pathway;GO:0008637~apoptotic mitochondrial changes;GO:0009408~response to heat;GO:0010507~negative regulation of autophagy;GO:0010629~negative regulation of gene expression;GO:0010748~negative regulation of plasma membrane long-chain fatty acid transport;GO:0010763~positive regulation of fibroblast migration;GO:0010765~positive regulation of sodium ion transport;GO:0010907~positive regulation of glucose metabolic process;GO:0010951~negative regulation of endopeptidase activity;GO:0010975~regulation of neuron projection development;GO:0014066~regulation of phosphatidylinositol 3-kinase signaling;GO:0015758~glucose transport;GO:0016310~phosphorylation;GO:0016567~protein ubiquitination;GO:0018105~peptidyl-serine phosphorylation;GO:0018107~peptidyl-threonine phosphorylation;GO:0021510~spinal cord development;GO:0030030~cell projection organization;GO:0030154~cell differentiation;GO:0030163~protein catabolic process;GO:0030168~platelet activation;GO:0030212~hyaluronan metabolic process;GO:0030307~positive regulation of cell growth;GO:0030334~regulation of cell migration;GO:0031018~endocrine pancreas development;GO:0031295~T cell costimulation;GO:0031641~regulation of myelination;GO:0031659~positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle;GO:0031663~lipopolysaccharide-mediated signaling pathway;GO:0031999~negative regulation of fatty acid beta-oxidation;GO:0032079~positive regulation of endodeoxyribonuclease activity;GO:0032094~response to food;GO:0032270~positive regulation of cellular protein metabolic process;GO:0032287~peripheral nervous system myelin maintenance;GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process;GO:0032869~cellular response to insulin stimulus;GO:0032880~regulation of protein localization;GO:0033138~positive regulation of peptidyl-serine phosphorylation;GO:0034405~response to fluid shear stress;GO:0035556~intracellular signal transduction;GO:0035655~interleukin-18-mediated signaling pathway;GO:0035924~cellular response to vascular endothelial growth factor stimulus;GO:0038128~ERBB2 signaling pathway;GO:0042593~glucose homeostasis;GO:0043065~positive regulation of apoptotic process;GO:0043066~negative regulation of apoptotic process;GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0043488~regulation of mRNA stability;GO:0043491~protein kinase B signaling;GO:0043536~positive regulation of blood vessel endothelial cell migration;GO:0045429~positive regulation of nitric oxide biosynthetic process;GO:0045600~positive regulation of fat cell differentiation;GO:0045725~positive regulation of glycogen biosynthetic process;GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway;GO:0045792~negative regulation of cell size;GO:0045861~negative regulation of proteolysis;GO:0045907~positive regulation of vasoconstriction;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046326~positive regulation of glucose import;GO:0046329~negative regulation of JNK cascade;GO:0046777~protein autophosphorylation;GO:0046889~positive regulation of lipid biosynthetic process;GO:0048009~insulin-like growth factor receptor signaling pathway;GO:0048015~phosphatidylinositol-mediated signaling;GO:0048661~positive regulation of smooth muscle cell proliferation;GO:0050999~regulation of nitric-oxide synthase activity;GO:0051000~positive regulation of nitric-oxide synthase activity;GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity;GO:0051146~striated muscle cell differentiation;GO:0060416~response to growth hormone;GO:0060644~mammary gland epithelial cell differentiation;GO:0060709~glycogen cell differentiation involved in embryonic placenta development;GO:0060716~labyrinthine layer blood vessel development;GO:0070141~response to UV-A;GO:0071260~cellular response to mechanical stimulus;GO:0071364~cellular response to epidermal growth factor stimulus;GO:0071380~cellular response to prostaglandin E stimulus;GO:0071407~cellular response to organic cyclic compound;GO:0071456~cellular response to hypoxia;GO:0072655~establishment of protein localization to mitochondrion;GO:0072656~maintenance of protein location in mitochondrion;GO:0090004~positive regulation of establishment of protein localization to plasma membrane;GO:0090201~negative regulation of release of cytochrome c from mitochondria;GO:0097011~cellular response to granulocyte macrophage colony-stimulating factor stimulus;GO:0097194~execution phase of apoptosis;GO:0099565~chemical synaptic transmission, postsynaptic;GO:0100002~negative regulation of protein kinase activity by protein phosphorylation;GO:1900182~positive regulation of protein localization to nucleus;GO:1901215~negative regulation of neuron death;GO:1901796~regulation of signal transduction by p53 class mediator;GO:1901976~regulation of cell cycle checkpoint;GO:1902176~negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway;GO:1990090~cellular response to nerve growth factor stimulus;GO:1990418~response to insulin-like growth factor stimulus;GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,
AKT2	AKT serine/threonine kinase 2(AKT2)	Homo sapiens	GO:0001934~positive regulation of protein phosphorylation;GO:0005978~glycogen biosynthetic process;GO:0006006~glucose metabolic process;GO:0006417~regulation of translation;GO:0006464~cellular protein modification process;GO:0006915~apoptotic process;GO:0007165~signal transduction;GO:0008286~insulin receptor signaling pathway;GO:0008643~carbohydrate transport;GO:0010748~negative regulation of plasma membrane long-chain fatty acid transport;GO:0010907~positive regulation of glucose metabolic process;GO:0018105~peptidyl-serine phosphorylation;GO:0030334~regulation of cell migration;GO:0030335~positive regulation of cell migration;GO:0031340~positive regulation of vesicle fusion;GO:0032000~positive regulation of fatty acid beta-oxidation;GO:0032287~peripheral nervous system myelin maintenance;GO:0032869~cellular response to insulin stimulus;GO:0035556~intracellular signal transduction;GO:0045444~fat cell differentiation;GO:0045725~positive regulation of glycogen biosynthetic process;GO:0046326~positive regulation of glucose import;GO:0060644~mammary gland epithelial cell differentiation;GO:0065002~intracellular protein transmembrane transport;GO:0071156~regulation of cell cycle arrest;GO:0072659~protein localization to plasma membrane;GO:0090314~positive regulation of protein targeting to membrane;GO:0090630~activation of GTPase activity;GO:2000147~positive regulation of cell motility;GO:2001275~positive regulation of glucose import in response to insulin stimulus,
AKT3	AKT serine/threonine kinase 3(AKT3)	Homo sapiens	GO:0000002~mitochondrial genome maintenance;GO:0006468~protein phosphorylation;GO:0007165~signal transduction;GO:0018105~peptidyl-serine phosphorylation;GO:0035556~intracellular signal transduction,
Arid4b	AT-rich interaction domain 4B(ARID4B)	Homo sapiens	GO:0006349~regulation of gene expression by genetic imprinting;GO:0006351~transcription, DNA-templated;GO:0006355~regulation of transcription, DNA-templated;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0007283~spermatogenesis;GO:0016575~histone deacetylation;GO:0034773~histone H4-K20 trimethylation;GO:0036124~histone H3-K9 trimethylation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0097368~establishment of Sertoli cell barrier,
ATM	ATM serine/threonine kinase(ATM)	Homo sapiens	GO:0000077~DNA damage checkpoint;GO:0000723~telomere maintenance;GO:0000724~double-strand break repair via homologous recombination;GO:0000729~DNA double-strand break processing;GO:0000731~DNA synthesis involved in DNA repair;GO:0000732~strand displacement;GO:0001666~response to hypoxia;GO:0001756~somitogenesis;GO:0002331~pre-B cell allelic exclusion;GO:0006260~DNA replication;GO:0006281~DNA repair;GO:0006303~double-strand break repair via nonhomologous end joining;GO:0006468~protein phosphorylation;GO:0006974~cellular response to DNA damage stimulus;GO:0006975~DNA damage induced protein phosphorylation;GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest;GO:0007004~telomere maintenance via telomerase;GO:0007050~cell cycle arrest;GO:0007094~mitotic spindle assembly checkpoint;GO:0007131~reciprocal meiotic recombination;GO:0007165~signal transduction;GO:0007420~brain development;GO:0007507~heart development;GO:0008340~determination of adult lifespan;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0010212~response to ionizing radiation;GO:0010506~regulation of autophagy;GO:0016572~histone phosphorylation;GO:0018105~peptidyl-serine phosphorylation;GO:0030889~negative regulation of B cell proliferation;GO:0032212~positive regulation of telomere maintenance via telomerase;GO:0033129~positive regulation of histone phosphorylation;GO:0033151~V(D)J recombination;GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process;GO:0036289~peptidyl-serine autophosphorylation;GO:0042159~lipoprotein catabolic process;GO:0042981~regulation of apoptotic process;GO:0043065~positive regulation of apoptotic process;GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator;GO:0043525~positive regulation of neuron apoptotic process;GO:0045141~meiotic telomere clustering;GO:0046777~protein autophosphorylation;GO:0048599~oocyte development;GO:0051402~neuron apoptotic process;GO:0051726~regulation of cell cycle;GO:0051972~regulation of telomerase activity;GO:0071044~histone mRNA catabolic process;GO:0071480~cellular response to gamma radiation;GO:0071481~cellular response to X-ray;GO:0071500~cellular response to nitrosative stress;GO:0072434~signal transduction involved in mitotic G2 DNA damage checkpoint;GO:0090399~replicative senescence;GO:0097694~establishment of RNA localization to telomere;GO:0097695~establishment of macromolecular complex localization to telomere;GO:1900034~regulation of cellular response to heat;GO:1901796~regulation of signal transduction by p53 class mediator;GO:1904262~negative regulation of TORC1 signaling;GO:1904354~negative regulation of telomere capping;GO:1904358~positive regulation of telomere maintenance via telomere lengthening;GO:1904884~positive regulation of telomerase catalytic core complex assembly,
